name	task_class	descriptive_name	code
theory_of_mind	TheoryOfMind	story	tom
theory_of_mind_diff_reward	TheoryOfMindDiffReward	story_diff_reward	tom_diff_reward
n_back	NBack	memory	nbko
action_observation	ActionObservation	knot	acva-acvk
verb_generation	VerbGeneration	verb	vrbgn-wrdrd
rest	Rest	rest	rest
rest_surprise	RestSurprise	rest_surprise	rest_surprise
rest_surprise_images	RestSurpriseImages	rest_surprise_images	rest_surp_img
rest_surprise_sound_images	RestSurpriseSoundImages	rest_surprise_sound_images	rest_surp_snd_img
tongue_movement	TongueMovement	tongue	tongue
auditory_narrative	AuditoryNarrative	radio	audnarr
spatial_navigation	SpatialNavigation	imagine	spatialnav
degraded_passage	DegradedPassage	listen	degpass
intact_passage	IntactPassage	story_listen	intpass
sentence_reading	SentenceReading	sentence_reading	senread
nonword_reading	NonwordReading	nonword_reading	nwdread
oddball	OddBall	oddball	odbal
demand_grid	DemandGrid	grid	dmgrd
demand_grid_easy_diff	DemandGridEasyDiff	grid_easy_diff	dmgrid_easy_diff
finger_sequence	FingerSequence	finger_sequence	fingseq
finger_sequence_surprise	FingerSequenceSurprise	finger_sequence_surprise	fingseqsurp
flexion_extension	FlexionExtension	toe	flexexten
semantic_prediction	SemanticPrediction	complete	sempred
semantic_switching	SemanticSwitching	complete	semswit
visual_search	VisualSearch	search	visrchsml
rmet	RMET	eyes	rmet
picture_sequence	PictureSequence	cartoon	picture_sequence
story_sequence	StorySequence	story sequence	story_sequence
action_prediction	ActionPrediction	prediction	action_prediction
movie	Movie	movie	mov
strange_stories	StrangeStories	relationship	strange_stories
faux_pas	FauxPas	faux pas	faux_pas
frith_happe	FrithHappe	triangle	frith_happe
liking	Liking	meeting	liking
pong	Pong	pong	pong
affective	Affective	affective	affect
finger_rhythmic	FingerRhythmic	finger_rhythmic	fingrhytm
time_perception	TimePerception	time_perception	timeperc
sensmot_control	SensMotControl	sensmot_control	sensmotcontrol
serial_reaction_time	SerialReactionTime	serial_reaction_time	srt
temp_deviant	TempDeviant	temp_deviant	temp_deviant
