trial_num	hand	trial_dur	iti_dur	picture_scale	condition	display_trial_feedback	key_match	key_nomatch	trial_type	stim	start_time	end_time
0	right	2	0.5	1.0	2-back	True	1	2	0	28.jpg	0.0	2.5
1	right	2	0.5	1.0	2-back	True	1	2	0	9.jpg	2.5	5.0
2	right	2	0.5	1.0	2-back	True	1	2	0	18.jpg	5.0	7.5
3	right	2	0.5	1.0	2-back	True	1	2	0	28.jpg	7.5	10.0
4	right	2	0.5	1.0	2-back	True	1	2	1	18.jpg	10.0	12.5
5	right	2	0.5	1.0	2-back	True	1	2	0	11.jpg	12.5	15.0
6	right	2	0.5	1.0	2-back	True	1	2	0	28.jpg	15.0	17.5
7	right	2	0.5	1.0	2-back	True	1	2	0	9.jpg	17.5	20.0
8	right	2	0.5	1.0	2-back	True	1	2	0	18.jpg	20.0	22.5
9	right	2	0.5	1.0	2-back	True	1	2	1	9.jpg	22.5	25.0
10	right	2	0.5	1.0	2-back	True	1	2	1	18.jpg	25.0	27.5
11	right	2	0.5	1.0	2-back	True	1	2	0	28.jpg	27.5	30.0
