run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	condition	grid_size	num_boxes_lit	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	1	2	left	0	0	right	easy	(3, 4)	2	3	[(0, 3), (2, 1), (1, 1), (0, 2), (2, 2), (2, 0)]	[(0, 3), (2, 1), (1, 1), (0, 2), (0, 1), (1, 0)]	[(0, 3), (2, 1)]	[(1, 1), (0, 2)]	[(2, 2), (2, 0)]	True	7	4	3	0.5	0.0	7.5	5.0008842083625495	0	5.0008852917235345	1	1.2868718333775178	True
1	1	2	right	1	1	right	easy	(3, 4)	2	3	[(1, 3), (0, 2), (0, 3), (2, 3), (0, 1), (1, 2)]	[(1, 3), (0, 2), (0, 0), (2, 2), (0, 1), (1, 2)]	[(1, 3), (0, 2)]	[(0, 3), (2, 3)]	[(0, 1), (1, 2)]	True	7	4	3	0.5	7.5	15.0	12.500823083333673	0	12.500824083341286	2	1.3545982500072569	True
1	1	2	right	1	2	right	hard	(4, 4)	3	3	[(2, 3), (1, 2), (0, 0), (1, 3), (1, 0), (0, 1), (1, 1), (3, 3), (2, 0)]	[(2, 3), (1, 2), (0, 0), (1, 3), (1, 0), (0, 1), (2, 2), (0, 3), (0, 2)]	[(2, 3), (1, 2), (0, 0)]	[(1, 3), (1, 0), (0, 1)]	[(1, 1), (3, 3), (2, 0)]	True	7	4	3	0.5	15.0	22.5	20.000752208405174	0	20.00075329176616	3	2.0832424166146666	False
1	1	2	left	0	3	right	hard	(4, 4)	3	3	[(2, 3), (0, 0), (0, 2), (1, 0), (0, 1), (0, 3), (2, 2), (1, 1), (1, 2)]	[(1, 3), (2, 1), (3, 2), (1, 0), (0, 1), (0, 3), (2, 2), (1, 1), (1, 2)]	[(2, 3), (0, 0), (0, 2)]	[(1, 0), (0, 1), (0, 3)]	[(2, 2), (1, 1), (1, 2)]	True	7	4	3	0.5	22.5	30.0	27.50073125003837	0	27.500732250045985	2	1.540953208343126	False
1	1	2	right	1	0	right	easy	(3, 4)	2	3	[(0, 3), (1, 3), (2, 3), (1, 2), (2, 2), (1, 1)]	[(2, 1), (1, 0), (2, 3), (1, 2), (2, 2), (1, 1)]	[(0, 3), (1, 3)]	[(2, 3), (1, 2)]	[(2, 2), (1, 1)]	True	7	4	3	0.5	0.0	7.5	5.000846541603096	0	5.00084754161071	2	1.212894666590728	True
1	1	2	right	1	1	right	easy	(3, 4)	2	3	[(2, 1), (1, 3), (0, 3), (1, 2), (2, 3), (2, 0)]	[(2, 1), (1, 3), (1, 0), (2, 2), (2, 3), (2, 0)]	[(2, 1), (1, 3)]	[(0, 3), (1, 2)]	[(2, 3), (2, 0)]	True	7	4	3	0.5	7.5	15.0	12.500917749945074	0	12.500919333193451	1	1.3544604583876207	False
1	1	2	left	0	2	right	hard	(4, 4)	3	3	[(2, 0), (1, 1), (3, 2), (3, 3), (3, 0), (1, 0), (3, 1), (0, 1), (2, 2)]	[(2, 0), (1, 1), (3, 2), (0, 0), (2, 3), (2, 1), (3, 1), (0, 1), (2, 2)]	[(2, 0), (1, 1), (3, 2)]	[(3, 3), (3, 0), (1, 0)]	[(3, 1), (0, 1), (2, 2)]	True	7	4	3	0.5	15.0	22.5	20.000809999997728	0	20.000811000005346	2	1.5706090000458062	False
1	1	2	left	0	3	right	hard	(4, 4)	3	3	[(2, 0), (3, 2), (1, 2), (1, 3), (3, 1), (1, 0), (2, 1), (0, 2), (2, 3)]	[(2, 0), (3, 2), (1, 2), (1, 3), (3, 1), (1, 0), (1, 1), (3, 3), (0, 3)]	[(2, 0), (3, 2), (1, 2)]	[(1, 3), (3, 1), (1, 0)]	[(2, 1), (0, 2), (2, 3)]	True	7	4	3	0.5	22.5	30.0	27.500744166667573	0	27.500745124998502	2	1.1223819582955912	False
1	1	2	right	1	0	right	easy	(3, 4)	2	3	[(0, 0), (0, 1), (1, 0), (1, 1), (2, 1), (0, 2)]	[(0, 0), (0, 1), (1, 0), (1, 1), (1, 2), (2, 0)]	[(0, 0), (0, 1)]	[(1, 0), (1, 1)]	[(2, 1), (0, 2)]	True	7	4	3	0.5	0.0	7.5	75.00077345827594	0	75.00077454163693	1	1.5063617082778364	False
1	1	2	left	0	1	right	easy	(3, 4)	2	3	[(2, 2), (0, 1), (0, 2), (0, 0), (0, 3), (1, 2)]	[(2, 2), (0, 1), (0, 2), (0, 0), (1, 1), (2, 1)]	[(2, 2), (0, 1)]	[(0, 2), (0, 0)]	[(0, 3), (1, 2)]	True	7	4	3	0.5	7.5	15.0	82.50057733326685	0	82.50057833327446	1	1.276134500047192	True
