task_name	task_code	task_file	instruction_dur	task_dur	start_time	end_time
verb_generation	vrbgen	verb_generation_read_01.tsv	5	30	0	35
reading	read	reading_sentences_01.tsv	5	30	35	70
demand_grid	dmgrd	demand_grid_01.tsv	5	30	70	105
finger_sequence	fingseq	finger_sequence_01.tsv	5	30	105	140
n_back	nbko	n_back_01.tsv	5	30	140	175
verb_generation	vrbgen	verb_generation_generate_01.tsv	5	30	175	210
action_observation	actobserv	action_observation_01.tsv	5	30	210	245
tongue_movement	tongue	tongue_movement_01.tsv	5	30	245	280
rest	rest	rest_01.tsv	5	30	280	315
auditory_narrative	audnarr	auditory_narrative_01.tsv	5	30	315	350
theory_of_mind	tom	theory_of_mind_01.tsv	5	30	350	385
