trial_num	trial_dur	iti_dur	trial_type	start_time	end_time
0	1	0	right	0	1
1	1	0	left	1	2
2	1	0	right	2	3
3	1	0	left	3	4
4	1	0	right	4	5
5	1	0	left	5	6
6	1	0	right	6	7
7	1	0	left	7	8
8	1	0	right	8	9
9	1	0	left	9	10
10	1	0	right	10	11
11	1	0	left	11	12
12	1	0	right	12	13
13	1	0	left	13	14
14	1	0	right	14	15
15	1	0	left	15	16
16	1	0	right	16	17
17	1	0	left	17	18
18	1	0	right	18	19
19	1	0	left	19	20
20	1	0	right	20	21
21	1	0	left	21	22
22	1	0	right	22	23
23	1	0	left	23	24
24	1	0	right	24	25
25	1	0	left	25	26
26	1	0	right	26	27
27	1	0	left	27	28
28	1	0	right	28	29
29	1	0	left	29	30
