trial_num	condition	trial_dur	iti_dur	start_time	end_time	stim
0	generate	2	0.5	0.0	2.5	knife       
1	generate	2	0.5	2.5	5.0	table       
2	generate	2	0.5	5.0	7.5	pencil      
3	generate	2	0.5	7.5	10.0	bee         
4	generate	2	0.5	10.0	12.5	butterfly   
5	generate	2	0.5	12.5	15.0	leopard     
6	generate	2	0.5	15.0	17.5	paperclip   
7	generate	2	0.5	17.5	20.0	chair       
8	generate	2	0.5	20.0	22.5	zipper      
9	generate	2	0.5	22.5	25.0	blouse      
10	generate	2	0.5	25.0	27.5	soap        
11	generate	2	0.5	27.5	30.0	cow         
