trial_num	condition	trial_dur	iti_dur	start_time	end_time	stim	display_trial_feedback
0	generate	2	0.5	0.0	2.5	thimble     	False
1	generate	2	0.5	2.5	5.0	tomato      	False
2	generate	2	0.5	5.0	7.5	pig         	False
3	generate	2	0.5	7.5	10.0	artichoke   	False
4	generate	2	0.5	10.0	12.5	theater     	False
5	generate	2	0.5	12.5	15.0	windmill    	False
6	generate	2	0.5	15.0	17.5	beach       	False
7	generate	2	0.5	17.5	20.0	shoulders  	False
8	generate	2	0.5	20.0	22.5	boyfriend   	False
9	generate	2	0.5	22.5	25.0	bee         	False
10	generate	2	0.5	25.0	27.5	carrot      	False
11	generate	2	0.5	27.5	30.0	harp        	False
