run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	condition	grid_size	num_boxes_lit	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	4	3	right	1	0	left	easy	(3, 4)	2	3	[(1, 0), (2, 3), (0, 0), (2, 0), (0, 1), (2, 2)]	[(2, 1), (0, 2), (0, 0), (2, 0), (0, 1), (2, 2)]	[(1, 0), (2, 3)]	[(0, 0), (2, 0)]	[(0, 1), (2, 2)]	True	7	4	3	0.5	0.0	7.5	78.00022395839915	0	78.00022495840676	4	1.9567600414156912	False
1	4	3	right	1	1	left	easy	(3, 4)	2	3	[(2, 0), (0, 0), (1, 0), (0, 1), (1, 1), (2, 1)]	[(1, 2), (0, 2), (1, 0), (0, 1), (1, 1), (2, 1)]	[(2, 0), (0, 0)]	[(1, 0), (0, 1)]	[(1, 1), (2, 1)]	True	7	4	3	0.5	7.5	15.0	85.50003691669554	0	85.50007141684182	3	1.4378629999700934	True
1	4	3	left	0	2	left	hard	(4, 4)	3	3	[(0, 2), (1, 0), (3, 0), (0, 3), (1, 2), (3, 1), (2, 1), (3, 2), (2, 2)]	[(0, 2), (1, 0), (3, 0), (0, 3), (1, 2), (3, 1), (0, 0), (0, 1), (2, 0)]	[(0, 2), (1, 0), (3, 0)]	[(0, 3), (1, 2), (3, 1)]	[(2, 1), (3, 2), (2, 2)]	True	7	4	3	0.5	15.0	22.5	93.00005087489262	0	93.0000520835165	0		False
1	4	3	left	0	3	left	hard	(4, 4)	3	3	[(1, 1), (2, 0), (3, 1), (1, 2), (3, 2), (1, 0), (3, 3), (1, 3), (2, 2)]	[(1, 1), (2, 0), (3, 1), (1, 2), (3, 2), (1, 0), (3, 0), (0, 1), (0, 2)]	[(1, 1), (2, 0), (3, 1)]	[(1, 2), (3, 2), (1, 0)]	[(3, 3), (1, 3), (2, 2)]	True	7	4	3	0.5	22.5	30.0	100.50004287506454	0	100.50005295849404	3	1.434132499853149	False
2	4	3	right	1	0	left	easy	(3, 4)	2	3	[(0, 0), (0, 2), (1, 2), (0, 3), (1, 3), (1, 1)]	[(2, 2), (2, 3), (1, 2), (0, 3), (1, 3), (1, 1)]	[(0, 0), (0, 2)]	[(1, 2), (0, 3)]	[(1, 3), (1, 1)]	True	7	4	3	0.5	0.0	7.5	43.00023058312945	0	43.000231583137065	3	1.418900333577767	True
2	4	3	right	1	1	left	easy	(3, 4)	2	3	[(2, 3), (1, 3), (0, 3), (1, 2), (2, 2), (0, 2)]	[(1, 1), (2, 1), (0, 3), (1, 2), (2, 2), (0, 2)]	[(2, 3), (1, 3)]	[(0, 3), (1, 2)]	[(2, 2), (0, 2)]	True	7	4	3	0.5	7.5	15.0	50.5000442082528	0	50.50006241654046	4	2.275823458097875	False
2	4	3	left	0	2	left	hard	(4, 4)	3	3	[(0, 0), (3, 0), (1, 1), (2, 1), (2, 0), (3, 1), (3, 2), (2, 2), (1, 2)]	[(1, 0), (3, 3), (0, 2), (2, 1), (2, 0), (3, 1), (3, 2), (2, 2), (1, 2)]	[(0, 0), (3, 0), (1, 1)]	[(2, 1), (2, 0), (3, 1)]	[(3, 2), (2, 2), (1, 2)]	True	7	4	3	0.5	15.0	22.5	58.00003600004129	0	58.00005416641943	4	1.839865874964744	True
2	4	3	right	1	3	left	hard	(4, 4)	3	3	[(0, 0), (3, 1), (2, 1), (3, 0), (1, 0), (3, 2), (2, 2), (1, 1), (0, 1)]	[(0, 0), (3, 1), (2, 1), (2, 0), (1, 2), (2, 3), (2, 2), (1, 1), (0, 1)]	[(0, 0), (3, 1), (2, 1)]	[(3, 0), (1, 0), (3, 2)]	[(2, 2), (1, 1), (0, 1)]	True	7	4	3	0.5	22.5	30.0	65.50004424992949	0	65.50006200000644	3	1.7527814162895083	True
3	4	3	left	0	0	left	easy	(3, 4)	2	3	[(2, 3), (1, 1), (0, 1), (1, 0), (2, 0), (0, 0)]	[(2, 3), (1, 1), (0, 1), (1, 0), (2, 2), (1, 2)]	[(2, 3), (1, 1)]	[(0, 1), (1, 0)]	[(2, 0), (0, 0)]	True	7	4	3	0.5	0.0	7.5	148.00020579178818	0	148.0002067082096	4	1.9103527083061635	True
3	4	3	right	1	1	left	easy	(3, 4)	2	3	[(2, 0), (1, 0), (0, 0), (1, 1), (2, 1), (0, 1)]	[(1, 2), (0, 2), (0, 0), (1, 1), (2, 1), (0, 1)]	[(2, 0), (1, 0)]	[(0, 0), (1, 1)]	[(2, 1), (0, 1)]	True	7	4	3	0.5	7.5	15.0	155.50004095816985	0	155.50004187505692	3	2.1274768749717623	True
3	4	3	right	1	2	left	hard	(4, 4)	3	3	[(3, 3), (3, 0), (2, 3), (3, 2), (2, 0), (2, 2), (3, 1), (1, 0), (1, 2)]	[(0, 0), (0, 2), (1, 1), (3, 2), (2, 0), (2, 2), (3, 1), (1, 0), (1, 2)]	[(3, 3), (3, 0), (2, 3)]	[(3, 2), (2, 0), (2, 2)]	[(3, 1), (1, 0), (1, 2)]	True	7	4	3	0.5	15.0	22.5	163.00003145821393	0	163.00003233319148	3	1.664496791549027	True
3	4	3	left	0	3	left	hard	(4, 4)	3	3	[(0, 0), (3, 1), (1, 3), (3, 2), (1, 2), (0, 1), (0, 3), (3, 0), (1, 1)]	[(0, 0), (3, 1), (1, 3), (3, 2), (1, 2), (0, 1), (2, 1), (2, 2), (3, 3)]	[(0, 0), (3, 1), (1, 3)]	[(3, 2), (1, 2), (0, 1)]	[(0, 3), (3, 0), (1, 1)]	True	7	4	3	0.5	22.5	30.0	170.5000418331474	0	170.50005116662942	4	1.5857263335492462	True
9	1	2	right	1	0	right	easy	(3, 4)	2	3	[(0, 0), (2, 2), (1, 0), (2, 3), (0, 1), (2, 0)]	[(0, 0), (2, 2), (2, 1), (0, 2), (0, 1), (2, 0)]	[(0, 0), (2, 2)]	[(1, 0), (2, 3)]	[(0, 1), (2, 0)]	True	7	4	3	0.5	0.0	7.5	43.000395958311856	0	43.000396916642785	1	1.475743833463639	False
9	1	2	left	0	1	right	easy	(3, 4)	2	3	[(0, 2), (0, 3), (0, 1), (1, 2), (0, 0), (1, 3)]	[(1, 1), (2, 3), (0, 1), (1, 2), (0, 0), (1, 3)]	[(0, 2), (0, 3)]	[(0, 1), (1, 2)]	[(0, 0), (1, 3)]	True	7	4	3	0.5	7.5	15.0	50.50001375004649	0	50.50001487508416	2	1.3776384582743049	False
9	1	2	right	1	2	right	hard	(4, 4)	3	3	[(0, 3), (2, 3), (1, 0), (2, 0), (0, 0), (1, 1), (1, 3), (3, 0), (2, 2)]	[(3, 1), (1, 2), (0, 1), (2, 0), (0, 0), (1, 1), (1, 3), (3, 0), (2, 2)]	[(0, 3), (2, 3), (1, 0)]	[(2, 0), (0, 0), (1, 1)]	[(1, 3), (3, 0), (2, 2)]	True	7	4	3	0.5	15.0	22.5	58.00001725018956	0	58.00002666655928	2	2.1018340832088143	True
9	1	2	right	1	3	right	hard	(4, 4)	3	3	[(3, 3), (0, 0), (0, 2), (1, 2), (0, 1), (1, 0), (2, 2), (3, 2), (1, 1)]	[(2, 1), (3, 1), (2, 3), (1, 2), (0, 1), (1, 0), (2, 2), (3, 2), (1, 1)]	[(3, 3), (0, 0), (0, 2)]	[(1, 2), (0, 1), (1, 0)]	[(2, 2), (3, 2), (1, 1)]	True	7	4	3	0.5	22.5	30.0	65.50002208328806	0	65.50003150012344	2	2.2466290001757443	True
10	1	2	left	0	0	right	easy	(3, 4)	2	3	[(0, 1), (0, 0), (1, 1), (1, 0), (1, 2), (2, 1)]	[(0, 1), (0, 0), (1, 1), (1, 0), (0, 2), (2, 0)]	[(0, 1), (0, 0)]	[(1, 1), (1, 0)]	[(1, 2), (2, 1)]	True	7	4	3	0.5	0.0	7.5	113.00021620863116	0	113.00021716672929	2	1.9088756667915732	False
10	1	2	left	0	1	right	easy	(3, 4)	2	3	[(0, 1), (2, 2), (0, 2), (1, 2), (2, 1), (1, 1)]	[(2, 0), (0, 3), (0, 2), (1, 2), (2, 1), (1, 1)]	[(0, 1), (2, 2)]	[(0, 2), (1, 2)]	[(2, 1), (1, 1)]	True	7	4	3	0.5	7.5	15.0	120.5000396668911	0	120.50004933355376	2	1.5419791666790843	False
10	1	2	left	0	2	right	hard	(4, 4)	3	3	[(1, 2), (2, 0), (3, 1), (1, 3), (0, 2), (1, 0), (3, 2), (0, 3), (1, 1)]	[(3, 3), (2, 3), (0, 0), (1, 3), (0, 2), (1, 0), (3, 2), (0, 3), (1, 1)]	[(1, 2), (2, 0), (3, 1)]	[(1, 3), (0, 2), (1, 0)]	[(3, 2), (0, 3), (1, 1)]	True	7	4	3	0.5	15.0	22.5	128.00004541687667	0	128.00005425000563	2	1.9374531251378355	False
10	1	2	right	1	3	right	hard	(4, 4)	3	3	[(2, 0), (1, 2), (1, 3), (2, 2), (1, 1), (2, 3), (3, 3), (1, 0), (3, 2)]	[(2, 0), (1, 2), (1, 3), (2, 2), (1, 1), (2, 3), (0, 2), (3, 0), (2, 1)]	[(2, 0), (1, 2), (1, 3)]	[(2, 2), (1, 1), (2, 3)]	[(3, 3), (1, 0), (3, 2)]	True	7	4	3	0.5	22.5	30.0	135.50004249997437	0	135.50004349998198	2	1.1948734163306651	True
11	1	2	left	0	0	right	easy	(3, 4)	2	3	[(0, 3), (0, 2), (1, 3), (0, 1), (2, 3), (0, 0)]	[(0, 3), (0, 2), (1, 3), (0, 1), (1, 1), (1, 2)]	[(0, 3), (0, 2)]	[(1, 3), (0, 1)]	[(2, 3), (0, 0)]	True	7	4	3	0.5	0.0	7.5	183.00028524990194	0	183.00028629158624	2	1.3105805832892656	False
11	1	2	right	1	1	right	easy	(3, 4)	2	3	[(1, 2), (1, 0), (0, 0), (2, 0), (0, 2), (1, 1)]	[(1, 2), (1, 0), (2, 2), (0, 1), (0, 2), (1, 1)]	[(1, 2), (1, 0)]	[(0, 0), (2, 0)]	[(0, 2), (1, 1)]	True	7	4	3	0.5	7.5	15.0	190.50005487492308	0	190.500055833254	2	1.93566754180938	True
11	1	2	right	1	2	right	hard	(4, 4)	3	3	[(1, 0), (0, 0), (0, 3), (1, 3), (2, 0), (1, 1), (2, 1), (3, 0), (1, 2)]	[(1, 0), (0, 0), (0, 3), (1, 3), (2, 0), (1, 1), (2, 3), (0, 2), (0, 1)]	[(1, 0), (0, 0), (0, 3)]	[(1, 3), (2, 0), (1, 1)]	[(2, 1), (3, 0), (1, 2)]	True	7	4	3	0.5	15.0	22.5	198.0000600416679	0	198.0000682915561	2	1.568785916781053	True
11	1	2	right	1	3	right	hard	(4, 4)	3	3	[(3, 0), (2, 0), (1, 1), (3, 1), (0, 1), (2, 1), (0, 0), (3, 2), (1, 2)]	[(3, 0), (2, 0), (1, 1), (3, 1), (0, 1), (2, 1), (1, 0), (2, 2), (0, 2)]	[(3, 0), (2, 0), (1, 1)]	[(3, 1), (0, 1), (2, 1)]	[(0, 0), (3, 2), (1, 2)]	True	7	4	3	0.5	22.5	30.0	205.5000566248782	0	205.50006608315744	1	1.6207857499830425	False
