run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	change_type	change_time	position_change	change_to	stim_original	stim_final	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct	rt
1	1	2	3	4	0	unimanual	3.25	0.5	True					2 1 3 2 1 4	2 1 3 2 1 4	0.0	3.75	148.00086924992502	0	148.00087033351883	0.1666666666666666	0.9137317500232408
1	1	2	3	4	1	unimanual	3.25	0.5	True					3 2 4 1 4 2	3 2 4 1 4 2	3.75	7.5	151.75061716674827	0	151.75061820843257	0.0	1.7116007499862462
1	1	2	3	4	2	unimanual	3.25	0.5	True	first_horizon	10.21	6.0	3.0	4 1 4 2 4 1	4 1 4 2 4 3	7.5	11.25	155.50060574989766	0	155.50060683349147	0.5	0.9630037639290094
1	1	2	3	4	3	unimanual	3.25	0.5	True					3 4 2 3 4 1	3 4 2 3 4 1	11.25	15.0	159.25063704163767	0	159.25063816667534	0.5	0.7848933957866393
1	1	2	3	4	4	unimanual	3.25	0.5	True					3 2 4 2 4 3	3 2 4 2 4 3	15.0	18.75	163.00065929163247	0	163.00066037499346	0.5	0.5911295209079981
1	1	2	3	4	5	unimanual	3.25	0.5	True	second_horizon	19.83	4.0	1.0	1 2 4 2 3 1	1 2 4 1 3 1	18.75	22.5	166.75067154178396	0	166.75067258346826	0.8333333333333334	0.6110321582760662
1	1	2	3	4	6	unimanual	3.25	0.5	True	first_horizon	25.21	6.0	3.0	3 4 1 3 2 1	3 4 1 3 2 3	22.5	26.25	170.50056466669776	0	170.50056579173545	0.8333333333333334	0.5019251597113907
1	1	2	3	4	7	unimanual	3.25	0.5	True	second_horizon	28.42	6.0	3.0	4 3 2 1 2 1	4 3 2 1 2 3	26.25	30.0	174.25058279163204	0	174.25058383354917	0.8333333333333334	0.5340349236115193
2	1	2	3	4	0	unimanual	3.25	0.5	True					1 4 1 2 1 4	1 4 1 2 1 4	0.0	3.75	78.00087283318862	0	78.00087391654961	0.5	0.8009311041678302
2	1	2	3	4	1	unimanual	3.25	0.5	True					4 3 1 4 3 2	4 3 1 4 3 2	3.75	7.5	81.7505704164505	0	81.75057150004432	0.8333333333333334	0.6296205583028496
2	1	2	3	4	2	unimanual	3.25	0.5	True	first_horizon	9.12	4.0	1.0	2 1 3 2 4 3	2 1 3 1 4 3	7.5	11.25	85.50063191656955	0	85.50063295825385	0.6666666666666666	0.6156784083228558
2	1	2	3	4	3	unimanual	3.25	0.5	True					1 3 2 4 1 4	1 3 2 4 1 4	11.25	15.0	89.25063466653228	0	89.25063574989326	1.0	0.4185164097386102
2	1	2	3	4	4	unimanual	3.25	0.5	True	first_horizon	16.08	3.0	2.0	2 4 1 3 2 4	2 4 2 3 2 4	15.0	18.75	93.00061074993572	0	93.00061183329672	0.6666666666666666	0.4841828194136421
2	1	2	3	4	5	unimanual	3.25	0.5	True					1 3 4 1 3 4	1 3 4 1 3 4	18.75	22.5	96.75058437488042	0	96.75058549991807	0.6666666666666666	0.6150365999899805
