run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	change_type	change_time	position_change	change_to	stim_original	stim_final	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct	rt
1	1	2	3	4	0	unimanual	3.25	0.5	True					2 3 1 2 1 2	2 3 1 2 1 2	0.0	3.75	113.00089150015263	103	0.8095887918025255	0.5	0.5919754249975085
1	1	2	3	4	1	unimanual	3.25	0.5	True	second_horizon	5.92	6.0	2.0	1 3 4 2 3 4	1 3 4 2 3 2	3.75	7.5	116.7506677082274	107	0.1608420831616968	0.5	0.7936080417130142
1	1	2	3	4	2	unimanual	3.25	0.5	True	second_horizon	8.04	3.0	2.0	4 3 4 1 2 4	4 3 2 1 2 4	7.5	11.25	120.50055041653104	110	0.6103756667580456	0.6666666666666666	0.6127589916810393
1	1	2	3	4	3	unimanual	3.25	0.5	True	second_horizon	12.88	5.0	4.0	3 2 4 1 3 2	3 2 4 1 4 2	11.25	15.0	124.25053025013769	113	1.0600850000046194	0.6666666666666666	0.5652078854036517
1	1	2	3	4	4	unimanual	3.25	0.5	True	first_horizon	17.71	6.0	4.0	2 3 1 4 2 3	2 3 1 4 2 4	15.0	18.75	128.0006534999702	117	0.4102430415805429	0.5	0.7208432083328565
1	1	2	3	4	5	unimanual	3.25	0.5	True					4 2 3 2 3 2	4 2 3 2 3 2	18.75	22.5	131.75058637512848	120	0.8598696251865476	1.0	0.4622243194219966
1	1	2	3	4	6	unimanual	3.25	0.5	True					2 3 4 2 1 2	2 3 4 2 1 2	22.5	26.25	135.50067841657437	124	0.2104819165542721	1.0	0.4499003888728718
1	1	2	3	4	7	unimanual	3.25	0.5	True					3 1 2 3 4 2	3 1 2 3 4 2	26.25	30.0	139.25120245828293	127	0.661209249868989	1.0	0.5019767083382854
2	1	2	3	4	0	unimanual	3.25	0.5	True	second_horizon	0.54	3.0	2.0	2 4 1 3 2 3	2 4 2 3 2 3	0.0	3.75	428.0010044584051	389	0.1101969163864851	1.0	0.4493068472171823
2	1	2	3	4	1	unimanual	3.25	0.5	True					3 2 4 1 2 3	3 2 4 1 2 3	3.75	7.5	431.7507001666818	392	0.5599267918150872	1.0	0.399875916657038
2	1	2	3	4	2	unimanual	3.25	0.5	True					3 2 4 1 4 2	3 2 4 1 4 2	7.5	11.25	435.5006146666128	395	1.0099204999860376	0.8333333333333334	0.5067133472766727
2	1	2	3	4	3	unimanual	3.25	0.5	True	first_horizon	12.88	4.0	1.0	3 2 4 2 4 2	3 2 4 1 4 2	11.25	15.0	439.2506558333989	399	0.3597234999760985	0.3333333333333333	0.647509322850965
2	1	2	3	4	4	unimanual	3.25	0.5	True	first_horizon	17.71	6.0	3.0	2 1 3 1 2 1	2 1 3 1 2 3	15.0	18.75	443.00065466668457	402	0.8093491664621979	0.6666666666666666	0.4970424444569896
2	1	2	3	4	5	unimanual	3.25	0.5	True					1 4 3 1 3 2	1 4 3 1 3 2	18.75	22.5	446.7506992917042	406	0.1595764583908021	0.6666666666666666	0.5504517250228673
2	1	2	3	4	6	unimanual	3.25	0.5	True	first_horizon	23.04	2.0	2.0	4 3 1 2 4 2	4 2 1 2 4 2	22.5	26.25	450.5007439998444	409	0.6096564584877342	0.5	0.6344569916371257
2	1	2	3	4	7	unimanual	3.25	0.5	True					3 4 1 4 1 2	3 4 1 4 1 2	26.25	30.0	454.250626166584	412	1.0592329166829586	1.0	0.4458619722087557
3	1	2	3	4	0	unimanual	3.25	0.5	True					1 2 1 3 4 2	1 2 1 3 4 2	0.0	3.75	183.00086458330043	167	0.407249458367005	1.0	0.4384700000130881
3	1	2	3	4	1	unimanual	3.25	0.5	True	first_horizon	4.83	3.0	2.0	1 4 3 1 3 4	1 4 2 1 3 4	3.75	7.5	186.75061362516135	170	0.8546273331157863	0.8333333333333334	0.5359994721754143
3	1	2	3	4	2	unimanual	3.25	0.5	True					3 4 1 4 2 3	3 4 1 4 2 3	7.5	11.25	190.50067454157397	174	0.2071440834552049	1.0	0.4308333403120438
3	1	2	3	4	3	unimanual	3.25	0.5	True	first_horizon	12.33	3.0	2.0	1 3 4 1 2 3	1 3 2 1 2 3	11.25	15.0	194.25061475019905	177	0.6571492082439363	0.8333333333333334	0.4684230346853534
3	1	2	3	4	4	unimanual	3.25	0.5	True	second_horizon	16.08	4.0	3.0	2 3 4 2 4 2	2 3 4 3 4 2	15.0	18.75	198.00062883342616	181	0.0070114580448716	0.8333333333333334	0.5709755000192672
3	1	2	3	4	5	unimanual	3.25	0.5	True					3 2 4 1 4 3	3 2 4 1 4 3	18.75	22.5	201.7506689582951	184	0.4584759583231061	1.0	0.3689763958100229
3	1	2	3	4	6	unimanual	3.25	0.5	True					2 4 2 1 3 2	2 4 2 1 3 2	22.5	26.25	205.50061354157515	187	0.9068562085740268	1.0	0.4869785069410379
3	1	2	3	4	7	unimanual	3.25	0.5	True	first_horizon	27.88	4.0	4.0	1 3 1 3 2 3	1 3 1 4 2 3	26.25	30.0	209.25125358323567	191	0.2576917081605643	0.8333333333333334	0.3887124513663972
4	1	2	3	4	0	unimanual	3.25	0.5	True					3 2 3 4 1 4	3 2 3 4 1 4	0.0	3.75	43.00098779145628	40	0.1039273750502616	0.3333333333333333	0.5765507082920521
4	1	2	3	4	1	unimanual	3.25	0.5	True	second_horizon	4.83	4.0	3.0	4 2 1 4 2 3	4 2 1 3 2 3	3.75	7.5	46.75058695813641	43	0.5533491249661893	1.0	0.5198490347247571
4	1	2	3	4	2	unimanual	3.25	0.5	True					3 4 1 4 2 4	3 4 1 4 2 4	7.5	11.25	50.50056999991648	46	1.0036196666769683	1.0	0.540781743087185
4	1	2	3	4	3	unimanual	3.25	0.5	True					4 1 4 1 4 2	4 1 4 1 4 2	11.25	15.0	54.250686291605234	50	0.3536663751583546	0.6666666666666666	0.4640474444022402
4	1	2	3	4	4	unimanual	3.25	0.5	True	second_horizon	16.62	5.0	2.0	2 1 3 1 4 3	2 1 3 1 2 3	15.0	18.75	58.00055849994533	53	0.8036592500284314	0.6666666666666666	0.466783777771828
