run_num	trial_num	hand	key_yes	key_no	frequency	stim_interval	trial_duration	response_duration	display_trial_feedback	start_time	end_time	n_deviants	deviant_times	deviant_type	deviant_positions	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	0	left	4	3	1	1.0	13	2	True	0	15	1	7.2	late	8.0	8.003145375056192	0	8.001703208545223	0		False
1	1	left	4	3	1	1.0	13	2	True	15	30	0				23.000652291812003	0	23.000094375107437	0		False
2	0	left	4	3	1	1.0	13	2	True	0	15	0				183.0008493750356	0	183.0002585835755	4	0.8199282083660364	False
2	1	left	4	3	1	1.0	13	2	True	15	30	1	20.8	early	7.0	198.00076295854524	0	198.00007104175165	3	0.8406595832202584	False
3	0	left	4	3	1	1.0	13	2	True	0	15	0				183.0007964167744	0	183.00022675003856	3	0.7018226250074804	True
3	1	left	4	3	1	1.0	13	2	True	15	30	3	18.2;19.2;23.8	late;late;early	4;5;10	198.0007027916145	0	198.000043208478	4	0.4431080832146108	True
4	0	left	4	3	1	1.0	13	2	True	0	15	1	3.2	late	4.0	148.00085191661492	0	148.0002527916804	4	0.6926067918539047	True
4	1	left	4	3	1	1.0	13	2	True	15	30	0				163.00068495841697	0	163.00005154148676	3	0.5349421666469425	True
5	0	left	4	3	1	1.0	13	2	True	0	15	0				148.00083658332005	0	148.0002725000959	4	0.740730291698128	False
5	1	left	4	3	1	1.0	13	2	True	15	30	2	22.2;26.2	late;late	8;12	163.0006596664898	0	163.00006862496957	4	0.4068416249938309	True
13	0	right	1	2	1	1.0	13	2	True	0	15	1	3.2	late	4.0	78.00086633325554	0	78.00026495824568	1	0.6260782084427774	True
13	1	right	1	2	1	1.0	13	2	True	15	30	0				93.00067637511528	0	93.00004429160616	2	0.5409092914778739	True
14	0	right	1	2	1	1.0	13	2	True	0	15	0				78.0008300000336	0	78.0002470833715	2	0.6517134997993708	True
14	1	right	1	2	1	1.0	13	2	True	15	30	2	23.8;26.2	early;late	10;12	93.00060550007038	0	93.00002333335578	1	-1.8184811668470504	True
15	0	right	1	2	1	1.0	13	2	True	0	15	3	4.2;8.8;11.2	late;early;late	5;10;12	183.00082016689703	0	183.0002345833927	2	0.5783101248089224	False
15	1	right	1	2	1	1.0	13	2	True	15	30	0				198.00065916683525	0	198.0000489167869	2	0.5192847084254026	True
18	0	right	1	2	1	1.0	13	2	True	0	15	0				218.00079933321103	0	218.0002167916391	2	0.5948707500938326	True
18	1	right	1	2	1	1.0	13	2	True	15	30	3	18.2;19.2;20.2	late;late;late	4;5;6	233.00064099999145	0	233.0000245417468	2	0.5579402083531022	False
19	0	left	4	3	1	1.0	13	2	True	0	15	0				183.00108395819552	0	183.00039262487553	4	0.8919334164820611	False
19	1	left	4	3	1	1.0	13	2	True	15	30	2	17.8;20.2	early;late	4;6	198.00071341637522	0	198.00005420809612	4	0.6615981250070035	True
