run_num	key_true	key_false	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	trial_type	num_stimuli	feedback_type	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	4	3	0	left	2	0.5	True	1	8	acc	0.0	2.5	43.00018641678616	0	43.00018733344041	0		False
1	4	3	1	left	2	0.5	True	1	8	acc	2.5	5.0	45.50002650008537	0	45.50002741673961	0		False
1	4	3	2	left	2	0.5	True	1	4	acc	5.0	7.5	48.00002683349885	0	48.000027749920264	0		False
1	4	3	3	left	2	0.5	True	1	8	acc	7.5	10.0	50.500033208401874	0	50.50003408361226	1	1.727839708328247	False
1	4	3	4	left	2	0.5	True	0	8	acc	10.0	12.5	53.00002499995753	0	53.00003349990584	0		False
1	4	3	5	left	2	0.5	True	0	4	acc	12.5	15.0	55.50003833347	0	55.50003929180093	0		False
1	4	3	6	left	2	0.5	True	0	4	acc	15.0	17.5	58.00003174995072	0	58.0000326668378	1	1.4193419166840613	False
1	4	3	7	left	2	0.5	True	0	4	acc	17.5	20.0	60.50002820859663	0	60.50002974993549	0		False
1	4	3	8	left	2	0.5	True	0	4	acc	20.0	22.5	63.000035708537325	0	63.000036666868255	0		False
1	4	3	9	left	2	0.5	True	1	4	acc	22.5	25.0	65.50003379164264	0	65.50003487500362	2	0.6616584581788629	False
1	4	3	10	left	2	0.5	True	0	4	acc	25.0	27.5	68.00003120838664	0	68.00003254180774	0		False
1	4	3	11	left	2	0.5	True	1	4	acc	27.5	30.0	70.50003337510861	0	70.50003437511623	4	0.7939016667660326	True
2	4	3	0	left	2	0.5	True	1	8	acc	0.0	2.5	78.00017604161985	0	78.00017699995078	4	1.53226179163903	True
2	4	3	1	left	2	0.5	True	1	8	acc	2.5	5.0	80.50004162499681	0	80.50004254165106	4	0.6994757500942796	True
2	4	3	2	left	2	0.5	True	1	8	acc	5.0	7.5	83.00004545832053	0	83.00004633353092	4	0.7816211665049195	True
2	4	3	3	left	2	0.5	True	1	8	acc	7.5	10.0	85.50003624986857	0	85.50003716675565	4	0.7123268332798034	True
2	4	3	4	left	2	0.5	True	1	4	acc	10.0	12.5	88.00004758336581	0	88.00004850002006	3	0.8605951250065118	False
2	4	3	5	left	2	0.5	True	0	8	acc	12.5	15.0	90.5000380417332	0	90.50003895838744	3	1.3350809165276587	True
2	4	3	6	left	2	0.5	True	0	8	acc	15.0	17.5	93.00003608339466	0	93.00003695837222	3	1.5318564167246222	True
2	4	3	7	left	2	0.5	True	0	8	acc	17.5	20.0	95.50004720850848	0	95.50004808348604	3	1.1258247084915638	True
2	4	3	8	left	2	0.5	True	1	8	acc	20.0	22.5	98.00003870832734	0	98.00003962498158	4	0.6586475414223969	True
2	4	3	9	left	2	0.5	True	0	4	acc	22.5	25.0	100.5000473749824	0	100.50004824995996	3	1.0288266248535365	True
2	4	3	10	left	2	0.5	True	1	4	acc	25.0	27.5	103.00004654168151	0	103.00004745833576	4	1.0713833749759942	True
2	4	3	11	left	2	0.5	True	0	4	acc	27.5	30.0	105.5000427083578	0	105.50004354165868	3	1.2759374165907502	True
3	4	3	0	left	2	0.5	True	1	8	acc	0.0	2.5	113.0001593332272	0	113.00016024988145	4	0.976123166969046	True
3	4	3	1	left	2	0.5	True	1	4	acc	2.5	5.0	115.500028999988	0	115.50002987496556	3	1.113548541907221	False
