run_num	trial_num	trial_type	trial_dur	iti_dur	start_time	end_time	stim	display_trial_feedback	noun	real_start_time	start_ttl	start_ttl_time
25	0	read	2	0.5	0.0	2.5	machine     	False	machine	393.00020733335987	0	393.000208291458
25	1	read	2	0.5	2.5	5.0	beach       	False	beach	395.500023041619	0	395.5000239582732
25	2	read	2	0.5	5.0	7.5	cap         	False	cap	398.00001645833254	0	398.0000173749868
25	3	read	2	0.5	7.5	10.0	shirt       	False	shirt	400.50002420833334	0	400.5000250833109
25	4	read	2	0.5	10.0	12.5	peanut      	False	peanut	403.0000277501531	0	403.0000286665745
25	5	read	2	0.5	12.5	15.0	orange      	False	orange	405.50001720828	0	405.5000181251671
25	6	generate	2	0.5	15.0	17.5	pencil      	False	pencil	408.0000185833778	0	408.0000194583554
25	7	generate	2	0.5	17.5	20.0	rock        	False	rock	410.5000277082436	0	410.50002858322114
25	8	generate	2	0.5	20.0	22.5	mail        	False	mail	413.00003012502566	0	413.0000310833566
25	9	generate	2	0.5	22.5	25.0	trumpet     	False	trumpet	415.50002858322114	0	415.50002954155207
25	10	generate	2	0.5	25.0	27.5	fish        	False	fish	418.00002595828846	0	418.00002687517554
25	11	generate	2	0.5	27.5	30.0	flower      	False	flower	420.500024541514	0	420.5000255831983
26	0	read	2	0.5	0.0	2.5	chair       	False	chair	253.00016316655092	0	253.00016416655853
26	1	read	2	0.5	2.5	5.0	airplane    	False	airplane	255.50002704141662	0	255.5000279583037
26	2	read	2	0.5	5.0	7.5	cigarette   	False	cigarette	258.0000296665821	0	258.00003058323637
26	3	read	2	0.5	7.5	10.0	donkey      	False	donkey	260.50002183322795	0	260.500022750115
26	4	read	2	0.5	10.0	12.5	cap         	False	cap	263.00001720828004	0	263.0000181249343
26	5	read	2	0.5	12.5	15.0	asparagus   	False	asparagus	265.50001924997196	0	265.5000201249495
26	6	generate	2	0.5	15.0	17.5	lobster     	False	lobster	268.0000234164763	0	268.0000242914539
26	7	generate	2	0.5	17.5	20.0	hammer      	False	hammer	270.5000313750934	0	270.5000406249892
26	8	generate	2	0.5	20.0	22.5	bat         	False	bat	273.00002499995753	0	273.0000258749351
26	9	generate	2	0.5	22.5	25.0	watch       	False	watch	275.50002312497236	0	275.5000239999499
26	10	generate	2	0.5	25.0	27.5	cow         	False	cow	278.0000217081979	0	278.00002262508497
26	11	generate	2	0.5	27.5	30.0	anchor      	False	anchor	280.5000225000549	0	280.5000234164763
