run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	condition	grid_size	num_boxes_lit	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	4	3	left	0	0	left	easy	(3, 4)	2	3	[(2, 2), (0, 3), (0, 2), (1, 3), (2, 3), (0, 1)]	[(1, 2), (0, 0), (0, 2), (1, 3), (2, 3), (0, 1)]	[(2, 2), (0, 3)]	[(0, 2), (1, 3)]	[(2, 3), (0, 1)]	True	7	4	3	0.5	0.0	7.5	148.0002227083387	0	148.00022370833904	3	2.065605833333393	False
1	4	3	right	1	1	left	easy	(3, 4)	2	3	[(1, 0), (0, 3), (0, 0), (0, 2), (1, 2), (1, 3)]	[(1, 0), (0, 3), (1, 1), (2, 2), (1, 2), (1, 3)]	[(1, 0), (0, 3)]	[(0, 0), (0, 2)]	[(1, 2), (1, 3)]	True	7	4	3	0.5	7.5	15.0	155.500043416665	0	155.5000443333338	4	1.2983098749973578	False
1	4	3	left	0	2	left	hard	(4, 4)	3	3	[(1, 1), (0, 3), (2, 2), (1, 3), (1, 2), (3, 2), (1, 0), (0, 1), (3, 1)]	[(1, 1), (0, 3), (2, 2), (1, 3), (1, 2), (3, 2), (3, 3), (2, 1), (0, 2)]	[(1, 1), (0, 3), (2, 2)]	[(1, 3), (1, 2), (3, 2)]	[(1, 0), (0, 1), (3, 1)]	True	7	4	3	0.5	15.0	22.5	163.00004654166696	0	163.0000475833367	4	1.0863647500009392	True
1	4	3	right	1	3	left	hard	(4, 4)	3	3	[(2, 1), (3, 3), (1, 3), (2, 3), (0, 3), (2, 0), (1, 2), (0, 2), (3, 0)]	[(0, 1), (2, 2), (1, 0), (2, 3), (0, 3), (2, 0), (1, 2), (0, 2), (3, 0)]	[(2, 1), (3, 3), (1, 3)]	[(2, 3), (0, 3), (2, 0)]	[(1, 2), (0, 2), (3, 0)]	True	7	4	3	0.5	22.5	30.0	170.50004062500375	0	170.50004166666622	3	1.519276875005744	True
2	4	3	right	1	0	left	easy	(3, 4)	2	3	[(1, 2), (2, 3), (1, 1), (2, 2), (0, 2), (2, 1)]	[(1, 2), (2, 3), (1, 1), (2, 2), (0, 1), (1, 0)]	[(1, 2), (2, 3)]	[(1, 1), (2, 2)]	[(0, 2), (2, 1)]	True	7	4	3	0.5	0.0	7.5	8.000237416665186	0	8.000238458327658	4	1.5037153333396418	False
2	4	3	right	1	1	left	easy	(3, 4)	2	3	[(2, 1), (2, 2), (2, 0), (2, 3), (1, 3), (1, 0)]	[(2, 1), (2, 2), (2, 0), (2, 3), (1, 1), (1, 2)]	[(2, 1), (2, 2)]	[(2, 0), (2, 3)]	[(1, 3), (1, 0)]	True	7	4	3	0.5	7.5	15.0	15.500049374997616	0	15.500050416660088	3	0.8559883333291509	True
2	4	3	right	1	2	left	hard	(4, 4)	3	3	[(3, 3), (2, 0), (3, 1), (2, 1), (2, 3), (3, 0), (1, 3), (1, 0), (1, 1)]	[(0, 0), (0, 1), (1, 2), (2, 1), (2, 3), (3, 0), (1, 3), (1, 0), (1, 1)]	[(3, 3), (2, 0), (3, 1)]	[(2, 1), (2, 3), (3, 0)]	[(1, 3), (1, 0), (1, 1)]	True	7	4	3	0.5	15.0	22.5	23.000051208327932	0	23.00005224999768	3	0.7583920833349111	True
2	4	3	left	0	3	left	hard	(4, 4)	3	3	[(3, 1), (2, 2), (3, 2), (2, 3), (2, 1), (3, 3), (1, 2), (1, 3), (2, 0)]	[(3, 1), (2, 2), (3, 2), (1, 1), (3, 0), (0, 2), (1, 2), (1, 3), (2, 0)]	[(3, 1), (2, 2), (3, 2)]	[(2, 3), (2, 1), (3, 3)]	[(1, 2), (1, 3), (2, 0)]	True	7	4	3	0.5	22.5	30.0	30.50005087500176	0	30.500060250000388	4	0.5408370000004652	True
3	4	3	right	1	0	left	easy	(3, 4)	2	3	[(0, 2), (2, 3), (0, 3), (1, 2), (0, 1), (1, 3)]	[(0, 2), (2, 3), (0, 3), (1, 2), (2, 2), (1, 1)]	[(0, 2), (2, 3)]	[(0, 3), (1, 2)]	[(0, 1), (1, 3)]	True	7	4	3	0.5	0.0	7.5	8.000225375006266	0	8.000226333337196	3	1.0029723749976256	True
3	4	3	left	0	1	left	easy	(3, 4)	2	3	[(2, 1), (1, 0), (2, 0), (1, 1), (0, 1), (1, 2)]	[(2, 1), (1, 0), (2, 0), (1, 1), (2, 2), (0, 0)]	[(2, 1), (1, 0)]	[(2, 0), (1, 1)]	[(0, 1), (1, 2)]	True	7	4	3	0.5	7.5	15.0	15.500033916672692	0	15.50003545833897	4	0.7661708333325805	True
