run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	condition	grid_size	num_boxes_lit	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	4	3	right	1	0	left	easy	(3, 4)	2	3	[(0, 1), (1, 1), (0, 0), (2, 1), (1, 0), (1, 2)]	[(0, 1), (1, 1), (0, 0), (2, 1), (2, 0), (0, 2)]	[(0, 1), (1, 1)]	[(0, 0), (2, 1)]	[(1, 0), (1, 2)]	True	7	4	3	0.5	0.0	7.5	183.00016487500395	0	183.00016591665917	0		False
1	4	3	left	0	1	left	easy	(3, 4)	2	3	[(2, 2), (1, 0), (2, 3), (1, 2), (0, 0), (2, 1)]	[(2, 2), (1, 0), (2, 3), (1, 2), (1, 3), (0, 2)]	[(2, 2), (1, 0)]	[(2, 3), (1, 2)]	[(0, 0), (2, 1)]	True	7	4	3	0.5	7.5	15.0	190.50003708332952	0	190.50003804166045	3	1.5567404166649794	False
1	4	3	right	1	2	left	hard	(4, 4)	3	3	[(0, 0), (1, 2), (0, 2), (2, 2), (1, 1), (0, 3), (3, 2), (1, 3), (2, 1)]	[(0, 0), (1, 2), (0, 2), (2, 2), (1, 1), (0, 3), (0, 1), (1, 0), (2, 3)]	[(0, 0), (1, 2), (0, 2)]	[(2, 2), (1, 1), (0, 3)]	[(3, 2), (1, 3), (2, 1)]	True	7	4	3	0.5	15.0	22.5	198.00003075000132	0	198.00003166665556	4	2.029786666666041	False
1	4	3	right	1	3	left	hard	(4, 4)	3	3	[(1, 2), (3, 3), (2, 1), (1, 3), (2, 0), (2, 2), (0, 3), (3, 2), (2, 3)]	[(1, 2), (3, 3), (2, 1), (0, 2), (3, 1), (1, 1), (0, 3), (3, 2), (2, 3)]	[(1, 2), (3, 3), (2, 1)]	[(1, 3), (2, 0), (2, 2)]	[(0, 3), (3, 2), (2, 3)]	True	7	4	3	0.5	22.5	30.0	205.50003587499668	0	205.50003679166548	3	1.753535166659276	True
2	4	3	left	0	0	left	easy	(3, 4)	2	3	[(0, 0), (2, 1), (0, 1), (2, 2), (1, 1), (1, 0)]	[(2, 3), (1, 2), (0, 1), (2, 2), (1, 1), (1, 0)]	[(0, 0), (2, 1)]	[(0, 1), (2, 2)]	[(1, 1), (1, 0)]	True	7	4	3	0.5	0.0	7.5	183.00020187499467	0	183.00020287498776	4	1.5715924166579498	True
2	4	3	right	1	1	left	easy	(3, 4)	2	3	[(0, 1), (0, 0), (1, 1), (1, 0), (2, 1), (1, 2)]	[(0, 1), (0, 0), (1, 1), (1, 0), (2, 0), (0, 2)]	[(0, 1), (0, 0)]	[(1, 1), (1, 0)]	[(2, 1), (1, 2)]	True	7	4	3	0.5	7.5	15.0	190.5000251249876	0	190.5000260416564	3	2.015309416659875	True
2	4	3	right	1	2	left	hard	(4, 4)	3	3	[(1, 3), (1, 0), (0, 0), (0, 3), (2, 0), (1, 2), (0, 2), (2, 3), (2, 2)]	[(0, 1), (1, 1), (3, 2), (0, 3), (2, 0), (1, 2), (0, 2), (2, 3), (2, 2)]	[(1, 3), (1, 0), (0, 0)]	[(0, 3), (2, 0), (1, 2)]	[(0, 2), (2, 3), (2, 2)]	True	7	4	3	0.5	15.0	22.5	198.00002891666372	0	198.0000297499937	3	1.6646187083388213	True
2	4	3	right	1	3	left	hard	(4, 4)	3	3	[(2, 1), (3, 1), (1, 2), (1, 3), (2, 0), (3, 2), (0, 2), (1, 1), (2, 3)]	[(2, 1), (3, 1), (1, 2), (1, 3), (2, 0), (3, 2), (3, 3), (3, 0), (2, 2)]	[(2, 1), (3, 1), (1, 2)]	[(1, 3), (2, 0), (3, 2)]	[(0, 2), (1, 1), (2, 3)]	True	7	4	3	0.5	22.5	30.0	205.50002099999983	0	205.50002191665408	3	1.6201525416690856	True
3	4	3	left	0	0	left	easy	(3, 4)	2	3	[(2, 2), (0, 3), (1, 2), (2, 1), (2, 3), (2, 0)]	[(2, 2), (0, 3), (1, 3), (0, 2), (2, 3), (2, 0)]	[(2, 2), (0, 3)]	[(1, 2), (2, 1)]	[(2, 3), (2, 0)]	True	7	4	3	0.5	0.0	7.5	43.000159416667884	0	43.00016033333668	4	1.7263141666626325	True
3	4	3	right	1	1	left	easy	(3, 4)	2	3	[(2, 3), (0, 1), (2, 2), (1, 1), (1, 0), (0, 2)]	[(2, 3), (0, 1), (2, 2), (1, 1), (1, 2), (2, 1)]	[(2, 3), (0, 1)]	[(2, 2), (1, 1)]	[(1, 0), (0, 2)]	True	7	4	3	0.5	7.5	15.0	50.500032666663174	0	50.500033541669836	3	2.1194015000073705	True
3	4	3	left	0	2	left	hard	(4, 4)	3	3	[(0, 2), (2, 1), (0, 3), (1, 1), (2, 2), (2, 0), (3, 0), (3, 2), (3, 1)]	[(0, 2), (2, 1), (0, 3), (1, 1), (2, 2), (2, 0), (1, 0), (0, 1), (1, 2)]	[(0, 2), (2, 1), (0, 3)]	[(1, 1), (2, 2), (2, 0)]	[(3, 0), (3, 2), (3, 1)]	True	7	4	3	0.5	15.0	22.5	58.000035750010284	0	58.00003666666453	4	1.9469473333301721	True
3	4	3	left	0	3	left	hard	(4, 4)	3	3	[(2, 0), (0, 3), (3, 0), (3, 1), (0, 2), (2, 1), (1, 1), (1, 0), (1, 2)]	[(2, 2), (3, 2), (1, 3), (3, 1), (0, 2), (2, 1), (1, 1), (1, 0), (1, 2)]	[(2, 0), (0, 3), (3, 0)]	[(3, 1), (0, 2), (2, 1)]	[(1, 1), (1, 0), (1, 2)]	True	7	4	3	0.5	22.5	30.0	65.50003633333836	0	65.50003720833047	3	1.1724427083390765	False
