run_num	key_one	key_two	key_three	key_four	trial_num	hand	trial_dur	iti_dur	display_trial_feedback	change_type	change_time	position_change	change_to	stim_original	stim_final	start_time	end_time	real_start_time	start_ttl	start_ttl_time	correct	rt
6	1	2	3	4	0	unimanual	3.25	0.5	True	second_horizon	1.62	5.0	3.0	2 4 2 1 4 2	2 4 2 1 3 2	0.0	3.75	43.00078766667866	0	43.00078870833386	0.6666666666666666	0.7942049479170237
6	1	2	3	4	1	unimanual	3.25	0.5	True					2 4 2 4 2 1	2 4 2 4 2 1	3.75	7.5	46.75055979167519	0	46.75056087500707	0.3333333333333333	1.302002687494678
6	1	2	3	4	2	unimanual	3.25	0.5	True					4 1 2 1 3 1	4 1 2 1 3 1	7.5	11.25	50.50055812500068	0	50.50055912499374	1.0	0.4621523888878679
6	1	2	3	4	3	unimanual	3.25	0.5	True	second_horizon	11.79	3.0	1.0	4 2 3 2 4 3	4 2 1 2 4 3	11.25	15.0	54.25057874999766	0	54.25057975000527	0.8333333333333334	0.6141296833346133
6	1	2	3	4	4	unimanual	3.25	0.5	True	second_horizon	16.08	4.0	2.0	2 1 3 1 4 3	2 1 3 2 4 3	15.0	18.75	58.0005631249951	0	58.00056412500271	0.8333333333333334	0.5506041249987902
6	1	2	3	4	5	unimanual	3.25	0.5	True					1 3 4 3 4 2	1 3 4 3 4 2	18.75	22.5	61.750585999994655	0	61.750587041678955	0.8333333333333334	0.6132782750006299
6	1	2	3	4	6	unimanual	3.25	0.5	True	first_horizon	24.12	4.0	4.0	4 3 2 1 2 4	4 3 2 4 2 4	22.5	26.25	65.50058950000675	0	65.5005905416765	0.6666666666666666	0.5897944166674278
6	1	2	3	4	7	unimanual	3.25	0.5	True					4 2 3 2 3 4	4 2 3 2 3 4	26.25	30.0	69.25058462499874	0	69.25058562500635	0.6666666666666666	0.6349939166655532
7	1	2	3	4	0	unimanual	3.25	0.5	True					4 3 1 3 2 3	4 3 1 3 2 3	0.0	3.75	183.00070516666165	0	183.0007062083314	1.0	0.3851479097235521
7	1	2	3	4	1	unimanual	3.25	0.5	True	first_horizon	4.83	3.0	1.0	4 3 4 3 2 4	4 3 1 3 2 4	3.75	7.5	186.75054908332825	0	186.7505501666601	1.0	0.4616747291681046
7	1	2	3	4	2	unimanual	3.25	0.5	True	second_horizon	8.58	4.0	4.0	3 4 3 2 1 2	3 4 3 4 1 2	7.5	11.25	190.50057033332996	0	190.5005713749997	1.0	0.4405204583332913
7	1	2	3	4	3	unimanual	3.25	0.5	True	first_horizon	12.88	4.0	4.0	3 2 1 3 2 3	3 2 1 4 2 3	11.25	15.0	194.2505700000038	0	194.25057108332112	1.0	0.4385047847245005
7	1	2	3	4	4	unimanual	3.25	0.5	True					3 4 2 4 1 2	3 4 2 4 1 2	15.0	18.75	198.0005342499935	0	198.0005353333254	1.0	0.45988162499998
7	1	2	3	4	5	unimanual	3.25	0.5	True					2 4 2 1 4 3	2 4 2 1 4 3	18.75	22.5	201.75055091666584	0	201.750551958321	0.6666666666666666	0.6416988749988377
7	1	2	3	4	6	unimanual	3.25	0.5	True					3 4 3 4 1 4	3 4 3 4 1 4	22.5	26.25	205.50057191666565	0	205.50057295832084	1.0	0.4509634861096856
7	1	2	3	4	7	unimanual	3.25	0.5	True	first_horizon	27.88	4.0	1.0	2 4 2 4 2 4	2 4 2 1 2 4	26.25	30.0	209.2505381249939	0	209.2505392083258	0.6666666666666666	0.5996677000017371
8	1	2	3	4	0	unimanual	3.25	0.5	True	second_horizon	2.17	6.0	2.0	3 1 4 3 1 4	3 1 4 3 1 2	0.0	3.75	8.001184208333143	0	8.00118525000289	1.0	0.5197576388891321
8	1	2	3	4	1	unimanual	3.25	0.5	True					1 3 4 1 4 2	1 3 4 1 4 2	3.75	7.5	11.750538374995813	0	11.750539375003427	1.0	0.4359472847208963
8	1	2	3	4	2	unimanual	3.25	0.5	True					4 2 3 4 3 2	4 2 3 4 3 2	7.5	11.25	15.500538374995813	0	15.500539375003427	1.0	0.4402989166677192
8	1	2	3	4	3	unimanual	3.25	0.5	True	second_horizon	13.42	6.0	1.0	2 4 3 1 3 4	2 4 3 1 3 1	11.25	15.0	19.25053812500846	0	19.25053908333939	0.8333333333333334	0.5887270000006538
8	1	2	3	4	4	unimanual	3.25	0.5	True					3 4 2 1 2 1	3 4 2 1 2 1	15.0	18.75	23.000654999996183	0	23.00065608334262	1.0	0.4253222222202263
