run_num	trial_num	hand	key_yes	key_no	frequency	stim_interval	trial_duration	response_duration	display_trial_feedback	start_time	end_time	n_deviants	deviant_times	deviant_type	deviant_positions	real_start_time	start_ttl	start_ttl_time	response	rt	correct
6	0	right	1	2	1	1.0	13	2	True	0	15	0				183.000669583329	0	183.00015070833615	2	1.4852238749881508	True
6	1	right	1	2	1	1.0	13	2	True	15	30	3	20.2;23.2;25.2	late;late;late	6;9;11	198.00055270834127	0	198.0000216250046	1	0.4179336666566087	True
7	0	right	1	2	1	1.0	13	2	True	0	15	1	5.2	late	6.0	78.00072216666013	0	78.00018404166622	1	0.5556082499970216	True
7	1	right	1	2	1	1.0	13	2	True	15	30	0				93.00059129166766	0	93.00003966665828	2	0.6322208333294839	True
8	0	right	1	2	1	1.0	13	2	True	0	15	0				43.00078691667295	0	43.000239625005634	2	0.9170324166625504	True
8	1	right	1	2	1	1.0	13	2	True	15	30	2	18.8;24.8	early;early	5;11	58.00058104167693	0	58.00004899999476	1	0.5779282083385624	True
9	0	right	1	2	1	1.0	13	2	True	0	15	0				393.0006944166671	0	393.0001762916654	2	0.9886323749960866	True
9	1	right	1	2	1	1.0	13	2	True	15	30	2	19.8;26.2	early;late	6;12	408.0005907499872	0	408.0000543333299	1	0.3589282500033732	True
10	0	left	4	3	1	1.0	13	2	True	0	15	1	7.8	early	9.0	218.000799750007	0	218.000237500004	4	1.198771499999566	True
10	1	left	4	3	1	1.0	13	2	True	15	30	0				233.00063095832593	0	233.00006541666517	3	1.3959075416642008	True
