task_name	task_code	task_file	instruction_dur	start_time	end_time
verb_generation	vrbgn-wrdrd	verb_generation_24.tsv	5	3	38
temp_deviant	temp_deviant	temp_deviant_24.tsv	5	38	73
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_24.tsv	5	73	108
spatial_navigation	spatialnav	spatial_navigation_24.tsv	5	108	143
tongue_movement	tongue	tongue_movement_24.tsv	5	143	178
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_24.tsv	5	178	213
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_24.tsv	5	213	248
rest	rest	rest_24.tsv	5	248	283
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_24.tsv	5	283	318
movie	mov	movie_24.tsv	5	318	353
action_observation	acva-acvk	action_observation_24.tsv	5	353	388
faux_pas	faux_pas	faux_pas_24.tsv	5	388	431
