task_name	task_code	task_file	instruction_dur	start_time	end_time
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_17.tsv	5	3	38
tongue_movement	tongue	tongue_movement_17.tsv	5	38	73
action_observation	acva-acvk	action_observation_17.tsv	5	73	108
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_17.tsv	5	108	143
verb_generation	vrbgn-wrdrd	verb_generation_17.tsv	5	143	178
visual_search	visrchsml	visual_search_17.tsv	5	178	213
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_17.tsv	5	213	248
temp_deviant	temp_deviant	temp_deviant_17.tsv	5	248	283
rest	rest	rest_17.tsv	5	283	318
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_17.tsv	5	318	353
spatial_navigation	spatialnav	spatial_navigation_17.tsv	5	353	388
faux_pas	faux_pas	faux_pas_17.tsv	5	388	423
movie	mov	movie_17.tsv	5	423	466
