task_name	task_code	task_file	instruction_dur	start_time	end_time
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_15.tsv	5	3	38
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_15.tsv	5	38	73
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_15.tsv	5	73	108
visual_search	visrchsml	visual_search_15.tsv	5	108	143
temp_deviant	temp_deviant	temp_deviant_15.tsv	5	143	178
rest	rest	rest_15.tsv	5	178	213
spatial_navigation	spatialnav	spatial_navigation_15.tsv	5	213	248
tongue_movement	tongue	tongue_movement_15.tsv	5	248	283
action_observation	acva-acvk	action_observation_15.tsv	5	283	318
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_15.tsv	5	318	353
faux_pas	faux_pas	faux_pas_15.tsv	5	353	388
verb_generation	vrbgn-wrdrd	verb_generation_15.tsv	5	388	423
movie	mov	movie_15.tsv	5	423	466
