trial_num	trial_dur	iti_dur	display_trial_feedback	trial_type	start_time	end_time
0	1	0	False	right	0	1
1	1	0	False	left	1	2
2	1	0	False	right	2	3
3	1	0	False	left	3	4
4	1	0	False	right	4	5
5	1	0	False	left	5	6
6	1	0	False	right	6	7
7	1	0	False	left	7	8
8	1	0	False	right	8	9
9	1	0	False	left	9	10
10	1	0	False	right	10	11
11	1	0	False	left	11	12
12	1	0	False	right	12	13
13	1	0	False	left	13	14
14	1	0	False	right	14	15
15	1	0	False	left	15	16
16	1	0	False	right	16	17
17	1	0	False	left	17	18
18	1	0	False	right	18	19
19	1	0	False	left	19	20
20	1	0	False	right	20	21
21	1	0	False	left	21	22
22	1	0	False	right	22	23
23	1	0	False	left	23	24
24	1	0	False	right	24	25
25	1	0	False	left	25	26
26	1	0	False	right	26	27
27	1	0	False	left	27	28
28	1	0	False	right	28	29
29	1	0	False	left	29	30
