taskName,source
ToM,shared
rest,shared
FingerSeq,shared
VideoAct,shared
VideoKnots,shared
VerbGen,shared
WordRead,shared
SpatialNavigation,shared
NoGo,mdtb
Go,mdtb
UnpleasantScenes,mdtb
PleasantScenes,mdtb
Math,mdtb
DigitJudgement,mdtb
CheckerBoard,mdtb
SadFaces,mdtb
HappyFaces,mdtb
IntervalTiming,mdtb
MotorImagery,mdtb
FingerSimple,mdtb
Verbal0Back,mdtb
Verbal2Back,mdtb
Object0Back,mdtb
Object2Back,mdtb
StroopIncon,mdtb
StroopCon,mdtb
VisualSearchSmall,mdtb
VisualSearchMed,mdtb
VisualSearchLarge,mdtb
intact_passage,language
degraded_passage,language
tongue_movement,language
auditory_narrative,language
n_back,language
oddball,language
demand_grid,language
romance_movie,language
sentence_reading,language
nonword_reading,language
