,trial,stim,xpos,ypos,orientation
0,0,0,2.5200000000000005,5.85,180
1,0,1,-0.8399999999999999,-5.85,180
2,0,2,-0.8399999999999999,4.178571428571429,270
3,0,3,4.2,0.8357142857142854,360
4,0,4,4.2,-4.178571428571429,360
5,0,5,2.5200000000000005,-4.178571428571429,180
6,0,6,-4.2,-4.178571428571429,270
7,0,7,0.8400000000000007,2.5071428571428562,360
8,1,0,-4.2,-0.8357142857142854,180
9,1,1,-2.52,-2.507142857142857,180
10,1,2,-4.2,5.85,270
11,1,3,-0.8399999999999999,5.85,360
12,1,4,0.8400000000000007,4.178571428571429,360
13,1,5,-2.52,5.85,180
14,1,6,0.8400000000000007,-5.85,270
15,1,7,2.5200000000000005,-2.507142857142857,360
16,2,0,-2.52,5.85,180
17,2,1,-4.2,-5.85,180
18,2,2,-2.52,2.5071428571428562,270
19,2,3,0.8400000000000007,-2.507142857142857,360
20,2,4,-0.8399999999999999,-4.178571428571429,180
21,2,5,-2.52,-0.8357142857142854,180
22,2,6,0.8400000000000007,-5.85,270
23,2,7,-2.52,-2.507142857142857,360
24,3,0,2.5200000000000005,5.85,90
25,3,1,0.8400000000000007,0.8357142857142854,180
26,3,2,-2.52,-5.85,270
27,3,3,-4.2,-5.85,360
28,4,0,-4.2,-5.85,90
29,4,1,-2.52,2.5071428571428562,180
30,4,2,-2.52,-2.507142857142857,270
31,4,3,-0.8399999999999999,-2.507142857142857,360
32,5,0,-0.8399999999999999,0.8357142857142854,90
33,5,1,-2.52,0.8357142857142854,180
34,5,2,2.5200000000000005,-2.507142857142857,270
35,5,3,4.2,-0.8357142857142854,360
36,6,0,4.2,-5.85,270
37,6,1,-2.52,2.5071428571428562,180
38,6,2,-2.52,-0.8357142857142854,270
39,6,3,4.2,0.8357142857142854,360
40,6,4,-2.52,0.8357142857142854,270
41,6,5,0.8400000000000007,-5.85,180
42,6,6,-0.8399999999999999,-0.8357142857142854,270
43,6,7,-4.2,-4.178571428571429,360
44,7,0,-2.52,-2.507142857142857,90
45,7,1,-2.52,-4.178571428571429,180
46,7,2,-0.8399999999999999,-5.85,270
47,7,3,-4.2,0.8357142857142854,360
48,8,0,-0.8399999999999999,2.5071428571428562,90
49,8,1,-0.8399999999999999,-0.8357142857142854,180
50,8,2,2.5200000000000005,4.178571428571429,270
51,8,3,2.5200000000000005,2.5071428571428562,360
52,9,0,-4.2,-5.85,270
53,9,1,2.5200000000000005,4.178571428571429,180
54,9,2,4.2,-0.8357142857142854,270
55,9,3,-0.8399999999999999,2.5071428571428562,360
56,9,4,-4.2,0.8357142857142854,360
57,9,5,-0.8399999999999999,-0.8357142857142854,180
58,9,6,-0.8399999999999999,4.178571428571429,270
59,9,7,4.2,-2.507142857142857,360
60,10,0,-0.8399999999999999,0.8357142857142854,90
61,10,1,-2.52,-0.8357142857142854,180
62,10,2,0.8400000000000007,4.178571428571429,270
63,10,3,4.2,2.5071428571428562,360
64,11,0,-2.52,-0.8357142857142854,270
65,11,1,-4.2,-0.8357142857142854,180
66,11,2,-0.8399999999999999,-5.85,270
67,11,3,-4.2,-4.178571428571429,360
68,11,4,-0.8399999999999999,4.178571428571429,270
69,11,5,0.8400000000000007,-4.178571428571429,180
70,11,6,4.2,0.8357142857142854,270
71,11,7,2.5200000000000005,-0.8357142857142854,360
