,hand,trial_dur,iti_dur,run_number,display_trial_feedback,stim,condition_name,trial_type,feedback_type,start_time,end_time
0,left,2,0.5,4,True,4,easy,False,acc,0.0,2.0
1,left,2,0.5,4,True,8,hard,True,acc,2.5,4.5
2,left,2,0.5,4,True,8,hard,True,acc,5.0,7.0
3,left,2,0.5,4,True,4,easy,True,acc,7.5,9.5
4,left,2,0.5,4,True,8,hard,True,acc,10.0,12.0
5,left,2,0.5,4,True,4,easy,True,acc,12.5,14.5
6,left,2,0.5,4,True,8,hard,False,acc,15.0,17.0
7,left,2,0.5,4,True,8,hard,False,acc,17.5,19.5
8,left,2,0.5,4,True,4,easy,True,acc,20.0,22.0
9,left,2,0.5,4,True,4,easy,False,acc,22.5,24.5
10,left,2,0.5,4,True,8,hard,False,acc,25.0,27.0
11,left,2,0.5,4,True,4,easy,False,acc,27.5,29.5
