,trial,stim,xpos,ypos,orientation
0,0,0,-2.52,-5.85,360
1,0,1,2.5200000000000005,0.8357142857142854,180
2,0,2,-4.2,0.8357142857142854,270
3,0,3,-0.8399999999999999,-5.85,360
4,0,4,-4.2,5.85,270
5,0,5,0.8400000000000007,5.85,180
6,0,6,0.8400000000000007,0.8357142857142854,270
7,0,7,0.8400000000000007,4.178571428571429,360
8,1,0,-2.52,2.5071428571428562,360
9,1,1,-4.2,4.178571428571429,180
10,1,2,0.8400000000000007,5.85,270
11,1,3,-4.2,-4.178571428571429,360
12,1,4,0.8400000000000007,-5.85,270
13,1,5,0.8400000000000007,-0.8357142857142854,180
14,1,6,2.5200000000000005,4.178571428571429,270
15,1,7,-4.2,-5.85,360
16,2,0,-0.8399999999999999,-4.178571428571429,180
17,2,1,4.2,4.178571428571429,180
18,2,2,-2.52,4.178571428571429,270
19,2,3,2.5200000000000005,2.5071428571428562,360
20,2,4,-4.2,4.178571428571429,360
21,2,5,-0.8399999999999999,0.8357142857142854,180
22,2,6,-4.2,-4.178571428571429,270
23,2,7,4.2,-4.178571428571429,360
24,3,0,2.5200000000000005,-2.507142857142857,90
25,3,1,-4.2,-5.85,180
26,3,2,0.8400000000000007,-5.85,270
27,3,3,4.2,-0.8357142857142854,360
28,4,0,-2.52,2.5071428571428562,180
29,4,1,0.8400000000000007,-0.8357142857142854,180
30,4,2,-4.2,-4.178571428571429,270
31,4,3,2.5200000000000005,-4.178571428571429,360
32,4,4,-2.52,4.178571428571429,270
33,4,5,0.8400000000000007,0.8357142857142854,180
34,4,6,0.8400000000000007,5.85,270
35,4,7,2.5200000000000005,-0.8357142857142854,360
36,5,0,-2.52,4.178571428571429,90
37,5,1,4.2,-0.8357142857142854,180
38,5,2,0.8400000000000007,2.5071428571428562,270
39,5,3,-0.8399999999999999,-2.507142857142857,360
40,6,0,-4.2,-4.178571428571429,180
41,6,1,0.8400000000000007,-2.507142857142857,180
42,6,2,2.5200000000000005,-0.8357142857142854,270
43,6,3,4.2,-4.178571428571429,360
44,6,4,-4.2,4.178571428571429,360
45,6,5,-2.52,-0.8357142857142854,180
46,6,6,4.2,-5.85,270
47,6,7,-0.8399999999999999,-2.507142857142857,360
48,7,0,-0.8399999999999999,2.5071428571428562,90
49,7,1,4.2,4.178571428571429,180
50,7,2,4.2,2.5071428571428562,270
51,7,3,2.5200000000000005,-5.85,360
52,8,0,0.8400000000000007,-0.8357142857142854,90
53,8,1,2.5200000000000005,-5.85,180
54,8,2,4.2,-2.507142857142857,270
55,8,3,-2.52,0.8357142857142854,360
56,9,0,-0.8399999999999999,-0.8357142857142854,90
57,9,1,-0.8399999999999999,-2.507142857142857,180
58,9,2,2.5200000000000005,2.5071428571428562,270
59,9,3,0.8400000000000007,5.85,360
60,10,0,2.5200000000000005,-5.85,360
61,10,1,0.8400000000000007,-4.178571428571429,180
62,10,2,2.5200000000000005,2.5071428571428562,270
63,10,3,-4.2,-2.507142857142857,360
64,10,4,0.8400000000000007,4.178571428571429,180
65,10,5,-2.52,5.85,180
66,10,6,4.2,4.178571428571429,270
67,10,7,0.8400000000000007,-2.507142857142857,360
68,11,0,-0.8399999999999999,5.85,90
69,11,1,2.5200000000000005,-0.8357142857142854,180
70,11,2,4.2,0.8357142857142854,270
71,11,3,4.2,-0.8357142857142854,360
