task_name,task_num,num_trials,target_num,num_sec,target_file,start_time,end_time,instruct_dur,feedback_type
visual_search,1,12,5,30,visual_search_30sec_05.csv,0,35,5,rt
rest,10,1,,10,rest_10sec.csv,35,45,0,
theory_of_mind,2,2,5,30,theory_of_mind_30sec_05.csv,45,80,5,acc
rest,10,1,,10,rest_10sec.csv,80,90,0,
n_back,3,15,5,30,n_back_30sec_05.csv,90,125,5,rt
rest,10,1,,10,rest_10sec.csv,125,135,0,
social_prediction,4,10,5,30,social_prediction_30sec_05.csv,135,170,5,acc
rest,10,1,,10,rest_10sec.csv,170,180,0,
semantic_prediction,5,4,5,30,semantic_prediction_30sec_05.csv,180,215,5,rt
rest,10,1,,10,rest_10sec.csv,215,225,0,
action_observation,6,12,5,30,action_observation_30sec_05.csv,225,260,5,acc
rest,10,1,,10,rest_10sec.csv,260,270,0,
verb_generation,7,14,5,30,verb_generation_30sec_05.csv,270,305,5,None
rest,10,1,,10,rest_10sec.csv,305,315,0,
romance_movie,8,1,5,30,romance_movie_30sec_05.csv,315,350,5,None
rest,10,1,,10,rest_10sec.csv,350,360,0,
act_obs_knots,9,1,5,30,act_obs_knots_30sec_05.csv,360,395,5,None
rest,10,1,,10,rest_10sec.csv,395,405,0,
finger_sequence,1,12,5,30,finger_sequence_30sec_05.csv,405,440,5,rt
rest,10,1,,10,rest_10sec.csv,440,450,0,
flexion_extension,1,12,5,30,flexion_extension_30sec_05.csv,450,485,5,None
rest,10,1,,10,rest_10sec.csv,485,495,0,
sternberg_order,1,12,5,30,sternberg_order_30sec_05.csv,495,530,5,rt
rest,10,1,,10,rest_10sec.csv,530,540,0,
visuospatial_order,1,12,5,30,visuospatial_order_30sec_05.csv,540,575,5,rt
rest,10,1,,10,rest_10sec.csv,575,585,0,
