story,stimulus_id,scenario,question1,options1,answer1,question2,options2,answer2,condition,half
"Vicky was at Oliver's party. A neighbor approached and said, ""Hello, I’m Maria. What's your name?""  
""I'm Vicky,"" she replied.  
""Would anyone like a drink?"" Oliver asked.",1,control,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",No,Who said something they shouldn't have said or something awkward?,"Vicky, Maria, Oliver, Nobody",Nobody,social,1
"Helen's husband planned a surprise birthday party. He warned Sarah, ""Don't tell Helen."" While with Helen, Sarah spilled coffee on her dress and said, ""Oh! I was wearing this to your party!"" ""What party?"" Said Helen.",2,faux pas,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",Yes,Who said something they shouldn't have said or something awkward?,"Helen, Sarah, Helen's husband, Nobody",Sarah,social,1
"Jim shopped for a shirt to match his suit. He found the right color and tried it, but it didn’t fit. The salesman said, “We’ll get larger sizes next week.”",3,control,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",No,Who said something they shouldn't have said or something awkward?,"Jim, The salesman, Nobody",Nobody,social,1
"Bob went to the barber for a haircut. ""How would you like it cut?"" the barber asked.
""I'd like the same style as I have now, only take about an inch off,"" Bob replied.
The barber cut it a little uneven in the front, so he had to cut it shorter to even it out. ""I'm afraid it's a bit shorter than you asked for,"" said the barber.
""Oh well,"" Bob said, ""it'll grow out.""",5,control,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",No,Who said something they shouldn't have said or something awkward?,"The barber, Bob, Nobody",Nobody,social,1
"John stopped off at the petrol station on the way home to fill up his car. He gave the cashier his credit card. The cashier ran it through the machine at the counter. ""I'm sorry,"" she said, ""the machine won't accept your card.""
""Hmmm, that's funny,"" John said. ""Well, I'll just pay in cash."" He gave her fifty and said, ""I filled up the tank with unleaded.""",6,control,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",No,Who said something they shouldn't have said or something awkward?,"The cashier, John, Nobody",Nobody,social,1
"Jill had just moved into a new flat and bought new curtains for her bedroom. When her best friend Lisa visited, Jill asked, ""How do you like my bedroom?""  
""Those curtains are horrible,"" Lisa said. ""I hope you're getting new ones!""",7,faux pas,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",Yes,Who said something they shouldn't have said or something awkward?,"Lisa, Jill, Nobody",Lisa,social,1
"Sally is a three-year-old girl with a round face and short blonde hair. She was at her Aunt Carol's house. The doorbell rang and her Aunt Carol answered it. It was Mary, a neighbour.
""Hi,"" Aunt Carol said, ""Nice of you to stop by.""
Mary said, ""Hello,"" then looked at Sally and said, ""Oh, I don't think I've met this little boy. What's your name?""",8,faux pas,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",Yes,Who said something they shouldn't have said or something awkward?,"Aunt Carol, Mary, Sally, Nobody",Mary,social,1
"Joan took her dog, Zack, out to the park. She threw a stick for him to chase.
When they had been there a while, Pam, a neighbour of hers, passed by. They chatted for a few minutes. Then Pam asked, ""Are you heading home? Would you like to walk together?""
""Sure,"" Joan said. She called Zack, but he was busy chasing pigeons and didn't come. ""It looks like he's not ready to go,"" she said. ""I think we'll stay.""
""OK,"" Pam said. ""I'll see you later.""",9,control,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",No,Who said something they shouldn't have said or something awkward?,"Pam, Joan, Nobody",Nobody,social,1
"Kim's cousin, Scott, was coming to visit and Kim made an apple pie especially for him. After dinner, she said, ""I made a pie just for you. It's in the kitchen.""
""Mmmm,"" replied Scott, ""It smells great! I love pies, except for apple, of course.""",10,faux pas,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",Yes,Who said something they shouldn't have said or something awkward?,"Scott, Kim, Nobody",Scott,social,1
"Jeanette bought her friend, Anne, a crystal bowl for a wedding gift. Anne had a big wedding and there were a lot of presents to keep track of.
About a year later, Jeanette was over one night at Anne's for dinner. Jeanette dropped a wine bottle by accident on the crystal bowl and the bowl shattered. ""I'm really sorry. I've broken the bowl,"" said Jeanette.
""Don't worry,"" said Anne. ""I never liked it anyway. Someone gave it to me for my wedding.""",11,faux pas,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",Yes,Who said something they shouldn't have said or something awkward?,"Anne, Jeanette, Nobody",Anne,social,1
"Joanne had had a major role in last year's school play and she really wanted the lead role this year. She took acting classes, and in the spring, she auditioned for the play. The day the decisions were posted, she went before class to check the list of who had made the play.
She hadn't made the lead and had instead been cast in a minor role. She ran into her boyfriend in the hall and told him what had happened. ""I'm sorry,” he said. ""You must be disappointed.""
""Yes,"" Joanne answered, ""I have to decide whether to take this role.""",12,control,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",No,Who said something they shouldn't have said or something awkward?,"Joanne, Her boyfriend, Nobody",Nobody,social,2
"Joe was at the library. He found the book he wanted about sailing in the Mediterranean and went up to the front counter to check it out. When he looked in his wallet, he discovered he had left his library card at home. ""I'm sorry,"" he said to librarian. ""I seem to have left my library card at home.""
""That's OK,"" she answered. ""Tell me your name, and if we have you in the computer, you can check out the book just by showing me your driving license.""",13,control,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",No,Who said something they shouldn't have said or something awkward?,"The librarian, Joe, Nobody",Nobody,social,2
"Mike, a nine-year-old boy, just started at a new school. He was in one of the cubicles in the toilets at school. Joe and Peter, two other boys, came in and were standing at the sinks talking.
Joe said, ""You know that new guy in the class? His name's Mike. Doesn't he look weird? And
he's so short!""
Mike came out of the cubicle and Joe and Peter saw him.
Peter said, ""Oh hi, Mike! Are you going out to play football now?""",14,faux pas,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",Yes,Who said something they shouldn't have said or something awkward?,"Mike, Joe, Peter, Nobody",Joe,social,2
"At Fernhaven Elementary School, there was a story competition. Everyone was invited to enter. Several of the fifth graders did so. Christine, a fifth grader, loved the story she had entered in the competition.
A few days later, the results of the competition were announced: Christine’s story had not won anything and a classmate, Jake, had won first prize. The following day, Christine was sitting on a bench with Jake. They were looking at his first prize trophy. Jake said, ""It was so easy to win that contest. All of the other stories in the competition were terrible.""
""Where are you going to put your trophy?"" asked Christine.",15,faux pas,Did anyone say something they shouldn't have said or something awkward?,"Yes, No",Yes,Who said something they shouldn't have said or something awkward?,"Christine, Jake, Nobody",Jake,social,2
