video,condition,stimulus_id
nature_01.mov,nature,01
romance_01.mov,romance,01
nature_02.mov,nature,02
romance_02.mov,romance,02
nature_03.mov,nature,03
romance_03.mov,romance,03
nature_04.mov,nature,04
romance_04.mov,romance,04
nature_05.mov,nature,05
romance_05.mov,romance,05
nature_06.mov,nature,06
romance_06.mov,romance,06
nature_07.mov,nature,07
romance_07.mov,romance,07
nature_08.mov,nature,08
romance_08.mov,romance,08
nature_09.mov,nature,09
romance_09.mov,romance,09
nature_10.mov,nature,10
romance_10.mov,romance,10
nature_11.mov,nature,11
romance_11.mov,romance,11
nature_12.mov,nature,12
romance_12.mov,romance,12
nature_13.mov,nature,13
romance_13.mov,romance,13
nature_14.mov,nature,14
romance_14.mov,romance,14
nature_15.mov,nature,15
romance_15.mov,romance,15
nature_16.mov,nature,16
romance_16.mov,romance,16
