video,condition,stimulus_id
landscape_01.mov,landscape,01
nature_01.mov,nature,01
romance_01.mov,romance,01
landscape_02.mov,landscape,02
nature_02.mov,nature,02
romance_02.mov,romance,02
landscape_03.mov,landscape,03
nature_03.mov,nature,03
romance_03.mov,romance,03
landscape_04.mov,landscape,04
nature_04.mov,nature,04
romance_04.mov,romance,04
landscape_05.mov,landscape,05
nature_05.mov,nature,05
romance_05.mov,romance,05
landscape_06.mov,landscape,06
nature_06.mov,nature,06
romance_06.mov,romance,06
landscape_07.mov,landscape,07
nature_07.mov,nature,07
romance_07.mov,romance,07
landscape_08.mov,landscape,08
nature_08.mov,nature,08
romance_08.mov,romance,08
landscape_09.mov,landscape,09
nature_09.mov,nature,09
romance_09.mov,romance,09
landscape_10.mov,landscape,10
nature_10.mov,nature,10
romance_10.mov,romance,10
landscape_11.mov,landscape,11
nature_11.mov,nature,11
romance_11.mov,romance,11
landscape_12.mov,landscape,12
nature_12.mov,nature,12
romance_12.mov,romance,12
landscape_13.mov,landscape,13
nature_13.mov,nature,13
romance_13.mov,romance,13
landscape_14.mov,landscape,14
nature_14.mov,nature,14
romance_14.mov,romance,14
landscape_15.mov,landscape,15
nature_15.mov,nature,15
romance_15.mov,romance,15
landscape_16.mov,landscape,16
nature_16.mov,nature,16
romance_16.mov,romance,16
