audio,condition
intact_passage_1.wav,intact
intact_passage_2.wav,intact
intact_passage_3.wav,intact
intact_passage_4.wav,intact
intact_passage_5.wav,intact
intact_passage_6.wav,intact
intact_passage_7.wav,intact
intact_passage_8.wav,intact
intact_passage_9.wav,intact
intact_passage_10.wav,intact
intact_passage_11.wav,intact
intact_passage_12.wav,intact
intact_passage_13.wav,intact
intact_passage_14.wav,intact
intact_passage_15.wav,intact
intact_passage_16.wav,intact
degraded_passage_1.wav,degraded
degraded_passage_2.wav,degraded
degraded_passage_3.wav,degraded
degraded_passage_4.wav,degraded
degraded_passage_5.wav,degraded
degraded_passage_6.wav,degraded
degraded_passage_7.wav,degraded
degraded_passage_8.wav,degraded
degraded_passage_9.wav,degraded
degraded_passage_10.wav,degraded
degraded_passage_11.wav,degraded
degraded_passage_12.wav,degraded
degraded_passage_13.wav,degraded
degraded_passage_14.wav,degraded
degraded_passage_15.wav,degraded
degraded_passage_16.wav,degraded
