picture,condition,stimulus_id
Control1,control,1
fbelief1,fbelief,1
mechanical1,mechanical,1
sscript1,sscript,1
tbelief1,tbelief,1
Control2,control,2
fbelief2,fbelief,2
mechanical2,mechanical,2
sscript2,sscript,2
tbelief2,tbelief,2
Control3,control,3
fbelief3,fbelief,3
mechanical3,mechanical,3
sscript3,sscript,3
tbelief3,tbelief,3
Control4,control,4
fbelief4,fbelief,4
mechanical4,mechanical,4
sscript4,sscript,4
tbelief4,tbelief,4
Control5,control,5
fbelief5,fbelief,5
mechanical5,mechanical,5
sscript5,sscript,5
tbelief5,tbelief,5
Control6,control,6
fbelief6,fbelief,6
mechanical6,mechanical,6
sscript6,sscript,6
tbelief6,tbelief,6
Control7,control,7
fbelief7,fbelief,7
mechanical7,mechanical,7
sscript7,sscript,7
tbelief7,tbelief,7
Control8,control,8
fbelief8,fbelief,8
mechanical8,mechanical,8
sscript8,sscript,8
tbelief8,tbelief,8
Control9,control,9
fbelief9,fbelief,9
mechanical9,mechanical,9
sscript9,sscript,9
tbelief9,tbelief,9
Control10,control,10
fbelief10,fbelief,10
mechanical10,mechanical,10
sscript10,sscript,10
tbelief10,tbelief,10
Control11,control,11
fbelief11,fbelief,11
mechanical11,mechanical,11
sscript11,sscript,11
tbelief11,tbelief,11
Control12,control,12
fbelief12,fbelief,12
mechanical12,mechanical,12
sscript12,sscript,12
tbelief12,tbelief,12
Control13,control,13
fbelief13,fbelief,13
mechanical13,mechanical,13
sscript13,sscript,13
tbelief13,tbelief,13
Control14,control,14
fbelief14,fbelief,14
mechanical14,mechanical,14
sscript14,sscript,14
tbelief14,tbelief,14
Control15,control,15
fbelief15,fbelief,15
mechanical15,mechanical,15
sscript15,sscript,15
tbelief15,tbelief,15
Control16,control,16
fbelief16,fbelief,16
mechanical16,mechanical,16
sscript16,sscript,16
tbelief16,tbelief,16
Control17,practice_control,17
fbelief17,practice_fbelief,17
mechanical17,practice_mechanical,17
sscript17,practice_sscript,17
tbelief17,practice_tbelief,17
Control18,practice_control,18
fbelief18,practice_fbelief,18
mechanical18,practice_mechanical,18
sscript18,practice_sscript,18
tbelief18,practice_tbelief,18
Control19,practice_control,19
fbelief19,practice_fbelief,19
mechanical19,practice_mechanical,19
sscript19,practice_sscript,19
tbelief19,practice_tbelief,19
Control20,practice_control,20
fbelief20,practice_fbelief,20
mechanical20,practice_mechanical,20
sscript20,practice_sscript,20
tbelief20,practice_tbelief,20
Control21,practice_control,21
fbelief21,practice_fbelief,21
mechanical21,practice_mechanical,21
sscript21,practice_sscript,21
tbelief21,practice_tbelief,21
