picture,condition
Control1,control
Control2,control
Control3,control
Control4,control
Control5,control
Control6,control
Control7,control
Control8,control
Control9,control
Control10,control
Control11,control
Control12,control
Control13,control
Control14,control
Control15,control
Control16,control
Control17,control
Control18,control
Control19,control
Control20,control
Control21,control
fbelief1,fbelief
fbelief2,fbelief
fbelief3,fbelief
fbelief4,fbelief
fbelief5,fbelief
fbelief6,fbelief
fbelief7,fbelief
fbelief8,fbelief
fbelief9,fbelief
fbelief10,fbelief
fbelief11,fbelief
fbelief12,fbelief
fbelief13,fbelief
fbelief14,fbelief
fbelief15,fbelief
fbelief16,fbelief
fbelief17,fbelief
fbelief18,fbelief
fbelief19,fbelief
fbelief20,fbelief
fbelief21,fbelief
mechanical1,mechanical
mechanical2,mechanical
mechanical3,mechanical
mechanical4,mechanical
mechanical5,mechanical
mechanical6,mechanical
mechanical7,mechanical
mechanical8,mechanical
mechanical9,mechanical
mechanical10,mechanical
mechanical11,mechanical
mechanical12,mechanical
mechanical13,mechanical
mechanical14,mechanical
mechanical15,mechanical
mechanical16,mechanical
mechanical17,mechanical
mechanical18,mechanical
mechanical19,mechanical
mechanical20,mechanical
mechanical21,mechanical
sscript1,sscript
sscript2,sscript
sscript3,sscript
sscript4,sscript
sscript5,sscript
sscript6,sscript
sscript7,sscript
sscript8,sscript
sscript9,sscript
sscript10,sscript
sscript11,sscript
sscript12,sscript
sscript13,sscript
sscript14,sscript
sscript15,sscript
sscript16,sscript
sscript17,sscript
sscript18,sscript
sscript19,sscript
sscript20,sscript
sscript21,sscript
