Order,included in 10-item short form,Option 1,Option 2,Option 3,Option 4,Race,Sex,Age
practice,no,anxious,disappointed,shocked,concerned,White,F,50
1,no,nervous,sarcastic,curious,friendly,White,F,50
2,yes,threatening,disappointed,panicked,concerned,Non-white,F,41
3,no,indifferent,relieved,puzzled,terrified,Non-white,M,19
4,no,excited,embarrassed,interested,sarcastic,Non-white,M,24
5,no,threatening,panicked,concerned,disappointed,White,F,50
6,no,disappointed,confident,confused,uneasy,White,F,29
7,no,curious,friendly,sarcastic,nervous,Non-white,F,41
8,yes,amused,excited,curious,disappointed,White,M,48
9,no,irritated,threatening,concerned,terrified,Non-white,F,24
10,no,interested,sarcastic,embarrassed,excited,Non-white,M,21
11,yes,indifferent,preoccupied,uneasy,puzzled,Non-white,M,19
12,no,friendly,sarcastic,curious,nervous,Non-white,F,29
13,yes,sarcastic,interested,embarrassed,excited,White,F,35
14,yes,amused,excited,curious,disappointed,Non-white,M,28
15,no,relieved,indifferent,puzzled,terrified,White,M,45
16,no,panicked,threatening,disappointed,concerned,White,F,26
17,no,confused,hostile,threatening,amused,Non-white,F,29
18,no,thoughtful,excited,fantasizing,joking,Non-white,M,19
19,Picture,yes,curious,amused,excited,disappointed,Non-white,F,41
20,no,confused,hostile,threatening,amused,Non-white,F,24
21,yes,uneasy,puzzled,indifferent,preoccupied,Non-white,F,29
22,yes,indifferent,preoccupied,puzzled,uneasy,White,M,22
23,no,uneasy,confused,confident,disappointed,Non-white,M,25
24,no,nervous,ashamed,affectionate,friendly,Non-white,M,24
25,no,excited,disappointed,curious,amused,White,F,44
26,yes,accusing,confused,cautious,dominant,Non-white,F,29
27,no,disappointed,excited,amused,curious,White,M,45
28,no,friendly,sarcastic,curious,nervous,Non-white,F,21
29,no,affectionate,ashamed,friendly,nervous,Non-white,M,26
30,no,curious,distrustful,hostile,joking,White,M,21
31,no,concerned,confused,defiant,disappointed,White,F,50
32,yes,depressed,preoccupied,confused,alarmed,Non-white,M,19
33,no,excited,embarrassed,interested,sarcastic,White,F,31
34,no,preoccupied,indifferent,uneasy,puzzled,Non-white,M,24
35,no,enraged,angry,threatening,scared,White,M,22
36,no,indifferent,preoccupied,puzzled,uneasy,White,F,42
37,no,hostile,threatening,shocked,tentative,Non-white,M,21
