,condition_name,condition_type,extracted,hit_target,instructed_target,interact_start,player_success,secs_after_interact,secs_before_interact,video_name,player_name,stim,trial_type,video_start_time,video_end_time,display_trial_feedback,hand,iti_dur,start_time,trial_dur
0,hard,video,True,11.0,9,1.9,F,-0.12,0.6,EW_163,EW,EW_163_dynamic_120ms_resized.mp4,False,1.3,1.78,True,left,0.5,0.0,2
1,easy,video,True,15.0,15,1.6,T,-0.12,0.6,DC_191,DC,DC_191_dynamic_120ms_resized.mp4,False,1.0,1.48,True,left,0.5,2.5,2
2,hard,video,True,8.0,8,1.2,T,-0.12,0.6,DC_180,DC,DC_180_dynamic_120ms_resized.mp4,True,0.6,1.08,True,left,0.5,5.0,2
3,easy,video,True,4.0,4,1.6,T,-0.12,0.6,DC_231,DC,DC_231_dynamic_120ms_resized.mp4,True,1.0,1.48,True,left,0.5,7.5,2
4,hard,video,True,11.0,11,1.3,T,-0.12,0.6,DC_185,DC,DC_185_dynamic_120ms_resized.mp4,False,0.7,1.18,True,left,0.5,10.0,2
5,easy,video,True,15.0,15,1.6,T,-0.12,0.6,EW_255,EW,EW_255_dynamic_120ms_resized.mp4,False,1.0,1.48,True,left,0.5,12.5,2
6,easy,video,True,3.0,3,1.7,T,-0.12,0.6,EW_208,EW,EW_208_dynamic_120ms_resized.mp4,True,1.1,1.58,True,left,0.5,15.0,2
7,easy,video,True,4.0,4,1.5,T,-0.12,0.6,DC_188,DC,DC_188_dynamic_120ms_resized.mp4,True,0.9,1.38,True,left,0.5,17.5,2
8,hard,video,True,8.0,8,1.7,T,-0.12,0.6,EW_228,EW,EW_228_dynamic_120ms_resized.mp4,True,1.1,1.58,True,left,0.5,20.0,2
9,hard,video,True,11.0,11,1.6,T,-0.12,0.6,EW_198,EW,EW_198_dynamic_120ms_resized.mp4,False,1.0,1.48,True,left,0.5,22.5,2
10,easy,video,True,16.0,16,1.0,T,-0.12,0.6,EW_215,EW,EW_215_dynamic_120ms_resized.mp4,False,0.4,0.88,True,left,0.5,25.0,2
11,easy,video,True,13.0,15,1.5,F,-0.12,0.6,DC_227,DC,DC_227_dynamic_120ms_resized.mp4,False,0.9,1.38,True,left,0.5,27.5,2
