,condition_name,condition_type,extracted,hit_target,instructed_target,interact_start,player_success,secs_after_interact,secs_before_interact,video_name,player_name,stim,trial_type,video_start_time,video_end_time,display_trial_feedback,hand,iti_dur,start_time,trial_dur
0,hard,video,True,12.0,14,2.0,F,-0.12,0.6,EW_145,EW,EW_145_dynamic_120ms_resized.mp4,False,1.4,1.88,True,left,0.5,0.0,2
1,hard,video,True,10.0,10,1.6,T,-0.12,0.6,DC_163,DC,DC_163_dynamic_120ms_resized.mp4,False,1.0,1.48,True,left,0.5,2.5,2
2,hard,video,True,9.0,9,1.4,T,-0.12,0.6,DC_64,DC,DC_64_dynamic_120ms_resized.mp4,False,0.8,1.28,True,left,0.5,5.0,2
3,easy,video,True,15.0,15,1.7,T,-0.12,0.6,DC_172,DC,DC_172_dynamic_120ms_resized.mp4,False,1.1,1.58,True,left,0.5,7.5,2
4,easy,video,True,14.0,16,1.5,F,-0.12,0.6,EW_68,EW,EW_68_dynamic_120ms_resized.mp4,False,0.9,1.38,True,left,0.5,10.0,2
5,easy,video,True,2.0,2,1.3,T,-0.12,0.6,DC_73,DC,DC_73_dynamic_120ms_resized.mp4,True,0.7,1.18,True,left,0.5,12.5,2
6,easy,video,True,16.0,16,1.4,T,-0.12,0.6,DC_60,DC,DC_60_dynamic_120ms_resized.mp4,False,0.8,1.28,True,left,0.5,15.0,2
7,easy,video,True,1.0,1,1.2,T,-0.12,0.6,EW_158,EW,EW_158_dynamic_120ms_resized.mp4,True,0.6,1.08,True,left,0.5,17.5,2
8,hard,video,True,5.0,5,1.6,T,-0.12,0.6,DC_55,DC,DC_55_dynamic_120ms_resized.mp4,True,1.0,1.48,True,left,0.5,20.0,2
9,hard,video,True,5.0,5,2.0,T,-0.12,0.6,EW_164,EW,EW_164_dynamic_120ms_resized.mp4,True,1.4,1.88,True,left,0.5,22.5,2
10,easy,video,True,2.0,2,1.6,T,-0.12,0.6,DC_168,DC,DC_168_dynamic_120ms_resized.mp4,True,1.0,1.48,True,left,0.5,25.0,2
11,easy,video,True,2.0,2,1.6,T,-0.12,0.6,EW_73,EW,EW_73_dynamic_120ms_resized.mp4,True,1.0,1.48,True,left,0.5,27.5,2
