,condition_name,condition_type,extracted,hit_target,instructed_target,interact_start,player_success,secs_after_interact,secs_before_interact,video_name,player_name,stim,trial_type,video_start_time,video_end_time,display_trial_feedback,hand,iti_dur,start_time,trial_dur
0,hard,video,True,9.0,9,1.8,T,-0.12,0.6,DC_248,DC,DC_248_dynamic_120ms_resized.mp4,False,1.2,1.68,True,left,0.5,0.0,2
1,easy,video,True,13.0,11,1.5,F,-0.12,0.6,DC_246,DC,DC_246_dynamic_120ms_resized.mp4,False,0.9,1.38,True,left,0.5,2.5,2
2,hard,video,True,5.0,5,1.7,T,-0.12,0.6,DC_238,DC,DC_238_dynamic_120ms_resized.mp4,True,1.1,1.58,True,left,0.5,5.0,2
3,easy,video,True,2.0,2,1.6,T,-0.12,0.6,DC_327,DC,DC_327_dynamic_120ms_resized.mp4,True,1.0,1.48,True,left,0.5,7.5,2
4,easy,video,True,4.0,4,1.6,T,-0.12,0.6,EW_291,EW,EW_291_dynamic_120ms_resized.mp4,True,1.0,1.48,True,left,0.5,10.0,2
5,hard,video,True,6.0,7,1.8,F,-0.12,0.6,EW_259,EW,EW_259_dynamic_120ms_resized.mp4,True,1.2,1.68,True,left,0.5,12.5,2
6,easy,video,True,4.0,5,1.7,F,-0.12,0.6,EW_231,EW,EW_231_dynamic_120ms_resized.mp4,True,1.1,1.58,True,left,0.5,15.0,2
7,hard,video,True,11.0,11,1.6,T,-0.12,0.6,DC_319,DC,DC_319_dynamic_120ms_resized.mp4,False,1.0,1.48,True,left,0.5,17.5,2
8,easy,video,True,15.0,15,1.6,T,-0.12,0.6,EW_349,EW,EW_349_dynamic_120ms_resized.mp4,False,1.0,1.48,True,left,0.5,20.0,2
9,easy,video,True,13.0,13,1.7,T,-0.12,0.6,EW_278,EW,EW_278_dynamic_120ms_resized.mp4,False,1.1,1.58,True,left,0.5,22.5,2
10,easy,video,True,13.0,13,0.9,F,-0.12,0.6,DC_308,DC,DC_308_dynamic_120ms_resized.mp4,False,0.3,0.78,True,left,0.5,25.0,2
11,hard,video,True,9.0,9,1.8,T,-0.12,0.6,EW_286,EW,EW_286_dynamic_120ms_resized.mp4,False,1.2,1.68,True,left,0.5,27.5,2
