,trial_type,n_back,condition_name,display_trial_feedback,stim,hand,iti_dur,start_time,trial_dur
0,False,2_back-,easy,True,18.jpg,left,0.5,0.0,1.5
1,False,2_back-,easy,True,15.png,left,0.5,2.0,1.5
2,False,2_back-,easy,True,15.png,left,0.5,4.0,1.5
3,True,2_back+,hard,True,15.png,left,0.5,6.0,1.5
4,True,2_back+,hard,True,15.png,left,0.5,8.0,1.5
5,False,2_back-,easy,True,11.jpg,left,0.5,10.0,1.5
6,False,2_back-,easy,True,18.jpg,left,0.5,12.0,1.5
7,True,2_back+,hard,True,11.jpg,left,0.5,14.0,1.5
8,True,2_back+,hard,True,18.jpg,left,0.5,16.0,1.5
9,False,2_back-,easy,True,18.jpg,left,0.5,18.0,1.5
10,True,2_back+,hard,True,18.jpg,left,0.5,20.0,1.5
11,True,2_back+,hard,True,18.jpg,left,0.5,22.0,1.5
12,True,2_back+,hard,True,18.jpg,left,0.5,24.0,1.5
13,False,2_back-,easy,True,18.jpg,left,0.5,26.0,1.5
14,True,2_back+,hard,True,18.jpg,left,0.5,28.0,1.5
