,word,session_list,trial_dur,display_trial_feedback,hand,iti_dur,start_time,trial_dur
0,bus         ,1,1.6,False,right,0.5,0.0,1.6
1,artichoke   ,1,1.6,False,right,0.5,2.1,1.6
2,pajamas    ,2,1.6,False,right,0.5,4.2,1.6
3,baby        ,1,1.6,False,right,0.5,6.3,1.6
4,meat       ,2,1.6,False,right,0.5,8.4,1.6
5,cornflakes ,2,1.6,False,right,0.5,10.5,1.6
6,island     ,2,1.6,False,right,0.5,12.6,1.6
7,library     ,1,1.6,False,right,0.5,14.7,1.6
8,kitchen    ,2,1.6,False,right,0.5,16.8,1.6
9,prison     ,2,1.6,False,right,0.5,18.9,1.6
10,elephant    ,1,1.6,False,right,0.5,21.0,1.6
11,tree       ,2,1.6,False,right,0.5,23.1,1.6
12,refrigerator,1,1.6,False,right,0.5,25.2,1.6
13,professor   ,1,1.6,False,right,0.5,27.3,1.6
