,stim,condition_name,trial_type,display_trial_feedback,hand,iti_dur,start_time,trial_dur
0,8,hard,True,True,right,0.5,0.0,2
1,4,easy,True,True,right,0.5,2.5,2
2,4,easy,True,True,right,0.5,5.0,2
3,8,hard,False,True,right,0.5,7.5,2
4,4,easy,False,True,right,0.5,10.0,2
5,8,hard,True,True,right,0.5,12.5,2
6,4,easy,False,True,right,0.5,15.0,2
7,4,easy,True,True,right,0.5,17.5,2
8,4,easy,False,True,right,0.5,20.0,2
9,8,hard,False,True,right,0.5,22.5,2
10,8,hard,True,True,right,0.5,25.0,2
11,8,hard,False,True,right,0.5,27.5,2
